player,lastname,team,link_tm,link_ws
James McClean,McClean,Stoke,/james-mcclean/profil/spieler/85935,/Players/76050/Show/James-McClean
Sam Clucas,Clucas,Stoke,/sam-clucas/profil/spieler/122223,/Players/134459/Show/Sam-Clucas
Anthony Lopes,Lopes,Lyon,/anthony-lopes/profil/spieler/60561,/Players/71833/Show/Anthony-Lopes
Jason Denayer,Denayer,Lyon,/jason-denayer/profil/spieler/277114,/Players/243511/Show/Jason-Denayer
Marcelo,Marcelo,Lyon,/marcelo/profil/spieler/52920,/Players/27761/Show/Marcelo
Oumar Solet,Solet,Lyon,/oumar-solet/profil/spieler/463665,/Players/354072/Show/Oumar-Solet
Ferland Mendy,Mendy,Lyon,/ferland-mendy/profil/spieler/291417,/Players/296337/Show/Ferland-Mendy
Marçal,Marçal,Lyon,/marcal/profil/spieler/137745,/Players/121718/Show/Marçal
Léo Dubois,Dubois,Lyon,/leo-dubois/profil/spieler/236400,/Players/146724/Show/Léo-Dubois
Rafael,Rafael,Lyon,/rafael/profil/spieler/61892,/Players/4092/Show/Rafael
Bertrand Traoré,Traoré,Lyon,/bertrand-traore/profil/spieler/131996,/Players/109807/Show/Bertrand-Traoré
Lenny Pintor,Pintor,Lyon,/lenny-pintor/profil/spieler/418660,/Players/357535/Show/Lenny-Pintor
Mathieu Gorgelin,Gorgelin,Lyon,/mathieu-gorgelin/profil/spieler/60543,/Players/81949/Show/Mathieu-Gorgelin
Jérémy Morel,Morel,Lyon,/jeremy-morel/profil/spieler/23960,/Players/22115/Show/Jérémy-Morel
Kenny Tete,Tete,Lyon,/kenny-tete/profil/spieler/206746,/Players/145996/Show/Kenny-Tete
Pape Cheikh,Cheikh,Lyon,/pape-cheikh/profil/spieler/336828,/Players/279511/Show/Pape-Cheikh
Lucas Tousart,Tousart,Lyon,/lucas-tousart/profil/spieler/353948,/Players/300705/Show/Lucas-Tousart
Maxwel Cornet,Cornet,Lyon,/maxwel-cornet/profil/spieler/234781,/Players/125004/Show/Maxwel-Cornet
Martin Terrier,Terrier,Lyon,/martin-terrier/profil/spieler/442891,/Players/329356/Show/Martin-Terrier
Memphis Depay,Depay,Lyon,/memphis-depay/profil/spieler/167850,/Players/110154/Show/Memphis-Depay
Houssem Aouar,Aouar,Lyon,/houssem-aouar/profil/spieler/395693,/Players/322096/Show/Houssem-Aouar
Mickey van der Hart,Hart,PEC Zwolle,/mickey-van-der-hart/profil/spieler/207048,/Players/121834/Show/Mickey-van-der-Hart
Diederik Boer,Boer,PEC Zwolle,/diederik-boer/profil/spieler/7288,/Players/34267/Show/Diederik-Boer
Yuta Nakayama,Nakayama,PEC Zwolle,/yuta-nakayama/profil/spieler/346647,/Players/369545/Show/Yuta-Nakayama
Darryl Lachman,Lachman,PEC Zwolle,/darryl-lachman/profil/spieler/93393,/Players/69584/Show/Darryl-Lachman
Kenneth Paal,Paal,PEC Zwolle,/kenneth-paal/profil/spieler/247596,/Players/231106/Show/Kenneth-Paal
Kingsley Ehizibue,Ehizibue,PEC Zwolle,/kingsley-ehizibue/profil/spieler/272812,/Players/244583/Show/Kingsley-Ehizibue
Bram van Polen,Polen,PEC Zwolle,/bram-van-polen/profil/spieler/41583,/Players/34108/Show/Bram-van-Polen
Pelle Clement,Clement,PEC Zwolle,/pelle-clement/profil/spieler/297693,/Players/279173/Show/Pelle-Clement
Gustavo Hamer,Hamer,PEC Zwolle,/gustavo-hamer/profil/spieler/322985,/Players/332143/Show/Gustavo-Hamer
Denis Genreau,Genreau,PEC Zwolle,/denis-genreau/profil/spieler/470618,/Players/361693/Show/Denis-Genreau
