link,nationality,minutes,agent
/marlon-ritter/profil/spieler/151636,Germany,0,KL Sportsbase
/ayoub-el-kaabi/profil/spieler/521127,Morocco,425,No agent
/adam-smith/profil/spieler/61841,England,794,Stellar Football Ltd
/chris-lowe/profil/spieler/55125,Germany,0,ISMG International
/sem-steijn/profil/spieler/593519,Netherlands,0,Agent is known - player under 18
/alex-telles/profil/spieler/255755,Brazil,90,Relatives
/jorrit-hendrix/profil/spieler/205004,Netherlands,25,SEG
/marco-asensio/profil/spieler/296622,Spain,1226,Horacio Gaggioli
/timo-baumgartl/profil/spieler/187491,Germany,1133,Kögl & Partner GmbH
/javi-fuego/profil/spieler/56134,Spain,0,Eugenio Botas ...
/joao-teixeira/profil/spieler/182710,Portugal,11,Gestifute
/facundo-piriz/profil/spieler/148607,Uruguay,0,Oscar Bentancourt
/younes-namli/profil/spieler/227039,Denmark,0,Forza Sports Group
/arturo-calabresi/profil/spieler/240897,Italy,255,Samii ...
/niklas-sule/profil/spieler/166601,Germany,1253,Karlheinz Förster
/kyle-bartley/profil/spieler/67421,England,0,Stellar Football Ltd
/ryan-manning/profil/spieler/262300,Ireland,0,Red6 Sports ...
/omar-browne/profil/spieler/189523,Panama,169,No agent
/sergey-petrov/profil/spieler/102581,Russia,169,Pavel Andreev
/ezequiel-unsain/profil/spieler/337600,Argentina,0,No agent
/pele/profil/spieler/99189,Guinea-Bissau,446,Ulisses Santos - ...
/fabio-quagliarella/profil/spieler/22328,Italy,1148,AGB Sport Management
/mubarak-wakaso/profil/spieler/45639,Ghana,3196,not clarified
/lionn/profil/spieler/75116,Brazil,0,no agent
/gaston-bojanich/profil/spieler/357337,Argentina,0,No agent
/rodrigo-de-paul/profil/spieler/255901,Argentina,196,not clarified
/bruno-martins-indi/profil/spieler/112052,Netherlands,2698,Juzzt Football
/pierrick-capelle/profil/spieler/214532,France,0,No agent
/jonathan-osorio/profil/spieler/260807,Canada,1386,Beswicks Sports Ltd
/giorgi-papunashvili/profil/spieler/214259,Georgia,401,Levan Zukhbaia
/lukas-gugganig/profil/spieler/164142,Austria,0,ROGON
/drew-moor/profil/spieler/39503,United States,450,WMG
/julian-brandt/profil/spieler/187492,Germany,874,Relatives
/denis-thomalla/profil/spieler/94030,Germany,0,Haspel ...
/sergio-ramos/profil/spieler/25557,Spain,12686,Relatives
/giorgi-aburjania/profil/spieler/186848,Georgia,629,Promoesport
/nathan-byrne/profil/spieler/121276,England,0,World in Motion
/faycal-fajr/profil/spieler/174344,Morocco,1753,Ben Kouider Group
/richonell-margaret/profil/spieler/465326,Netherlands,0,Stellar Football Ltd
/guilherme-oliveira/profil/spieler/257369,Portugal,0,IDOLOÁSIS
/artem-rebrov/profil/spieler/15680,Russia,44,SA-Football Agency
/yohan-benalouane/profil/spieler/50477,Tunisia,241,no agent
/milton-alvarez/profil/spieler/526527,Argentina,0,No agent
/johan-blomberg/profil/spieler/107539,Sweden,0,Samii ...
/diego-valoyes/profil/spieler/413983,Colombia,0,Alinea
/milan-lukac/profil/spieler/47024,Serbia,1,Dynamic Agency
/sven-michel/profil/spieler/186988,Germany,0,Karl M. Herzog ...
/jannik-dehm/profil/spieler/211671,Germany,165,DC International ...
/james-milner/profil/spieler/3333,England,3469,Samii ...
/miguel-veloso/profil/spieler/43848,Portugal,3647,Gestifute
/cristian-ansaldi/profil/spieler/55854,Argentina,359,M.S.C. Management
/fabian-henriquez/profil/spieler/400611,Argentina,0,No agent
/ruben-duarte/profil/spieler/177046,Spain,703,Promoesport
/nildo-petrolina/profil/spieler/158427,Brazil,0,International Foot
/emiliano-velazquez/profil/spieler/189458,Uruguay,90,JCRsport
/chris-basham/profil/spieler/52495,England,0,Omni-Sports
/maciej-wilusz/profil/spieler/42109,Poland,215,INNfootball
/gerard-moreno/profil/spieler/177467,Spain,0,YOU FIRST SPORTS
/ciro-rius/profil/spieler/101875,Argentina,0,No agent
/nikolay-markov/profil/spieler/89088,Russia,0,No agent
/zelimkhan-bakaev/profil/spieler/279242,Russia,743,no agent
/maxime-le-marchand/profil/spieler/60558,France,0,S-C&M
/john-guidetti/profil/spieler/98596,Sweden,1125,HCM Sports ...
/antonis-aidonis/profil/spieler/405674,Germany,175,Agent is known - player under 18
/assil-jaziri/profil/spieler/633398,Tunisia,0,Sport Profile
/guilherme/profil/spieler/55369,Russia,448,no agent
/alfredo-morales/profil/spieler/58500,United States,543,ROGON
/claudio-falcao/profil/spieler/437566,Brazil,0,Footinvest ...
/accioly/profil/spieler/56054,Brazil,0,No agent
/carlos-soler/profil/spieler/372246,Spain,0,Promoesport
/dani-schahin/profil/spieler/58437,Germany,0,EMG Mundial
/miguel-linares/profil/spieler/95504,Spain,0,No agent
/danil-lipovoy/profil/spieler/462988,Russia,717,No agent
/shawn-parker/profil/spieler/89659,Germany,63,100and10 ...
/alvaro-vadillo/profil/spieler/162074,Spain,0,YOU FIRST SPORTS
/stefan-johansen/profil/spieler/62008,Norway,3731,No agent
/iker-muniain/profil/spieler/54235,Spain,49,Jesus Medina Martin
/daniel-heuer-fernandes/profil/spieler/84993,Portugal,0,arena11 sports group
/jason-puncheon/profil/spieler/47995,England,0,Relatives
/cian-harries/profil/spieler/319300,Wales,0,No agent
/oliver-skipp/profil/spieler/406638,England,190,ARETÉ
/kylian-mbappe/profil/spieler/342229,France,2080,Relatives
/edimilson-fernandes/profil/spieler/247555,Switzerland,287,IFM
/kortney-hause/profil/spieler/233124,England,758,Coda Independent ...
/minhoca/profil/spieler/194177,Portugal,0,FGA
/gersom-klok/profil/spieler/56325,Netherlands,0,No agent
/georgios-tzavellas/profil/spieler/42942,Greece,2158,Relatives
/david-costas/profil/spieler/276111,Spain,65,YOU FIRST SPORTS
/marcus-epps/profil/spieler/482646,United States,0,M&D Sport Managment
/odil-akhmedov/profil/spieler/63606,Uzbekistan,6605,prosm
/javier-gandolfi/profil/spieler/26242,Argentina,0,No agent
/daniel-salloi/profil/spieler/321946,Hungary,0,Stars & Friends
/chey-dunkley/profil/spieler/217094,Jamaica,0,No agent
/martin-hinteregger/profil/spieler/85789,Austria,3292,World in Motion
/erik-holt/profil/spieler/510344,United States,0,PRO FC
/tim-knipping/profil/spieler/185520,Germany,0,NOACK SPORTS GmbH
/ryad-boudebouz/profil/spieler/77826,Algeria,1237,Amc sport paris
/marek-hamsik/profil/spieler/38593,Slovakia,8790,CSM Agency
/luquinhas/profil/spieler/402825,Brazil,0,EUROFOOT BV
/branislav-ivanovic/profil/spieler/36827,Serbia,8682,Star Management ...
