current_value,highest_value,outfitter,last_team,prev_team,prev_prev_team,link
£2.25m,£2.70m,None,Werder Bremen,1.FC Nuremberg,Rot-Weiß Erfurt,/kevin-mohwald/profil/spieler/94137
£12.60m,£12.60m,None,Genoa,Cittadella,Prato,/christian-kouame/profil/spieler/337725
£135k,£135k,None,Konyaspor,A. Selcukspor,Konyaspor,/mucahit-can-akcay/profil/spieler/315202
£900k,£900k,None,SC Freiburg,SC Paderborn,SC Freiburg,/mohamed-drager/profil/spieler/192167
£810k,£810k,None,Boavista,Vizela,Famalicão,/joao-talocha/profil/spieler/205116
£900k,£7.38m,None,FC Dallas,FC Luzern,FC Luzern,/reto-ziegler/profil/spieler/9915
£270k,£3.60m,None,Parma,Chievo Verona,Parma,/massimo-gobbi/profil/spieler/28020
£540k,£2.25m,None,E. Frankfurt,MSV Duisburg,E. Frankfurt,/felix-wiedwald/profil/spieler/44594
£630k,£630k,None,Real Zaragoza,FC Porto B,FC Porto U19,/diogo-verdasca/profil/spieler/225162
£225k,£225k,None,Sounders FC,Tacoma Defiance,Sounders FC,/handwalla-bwana/profil/spieler/425824
£1.35m,£4.95m,None,Swansea,West Brom,Swansea,/jefferson-montero/profil/spieler/77932
£4.05m,£4.05m,None,Middlesbrough,Sunderland,Man Utd,/paddy-mcnair/profil/spieler/167268
£2.25m,£6.30m,None,E. Frankfurt,Hannover 96,E. Frankfurt,/nicolai-muller/profil/spieler/39426
£1.80m,£2.34m,None,Montreal Impact,San Lorenzo,Lecce,/ignacio-piatti/profil/spieler/37433
£315k,£315k,None,Boavista,Botev Plovdiv,Al-Shaab,/gustavo-sauer/profil/spieler/336158
£2.70m,£6.30m,None,Sporting CP,Aldosivi,Sporting CP,/alan-ruiz/profil/spieler/190442
£1.13m,£1.13m,None,CA Talleres,River Plate II,River Plate U20,/facundo-medina/profil/spieler/474800
£1.80m,£1.80m,None,SC Paderborn,FC Schalke 04,SCR Altach,/bernard-tekpetey/profil/spieler/422380
£675k,£3.15m,None,Swansea,QPR,Terrassa FC,/angel-rangel/profil/spieler/66550
£68k,£315k,None,Farense,Santa Clara,Santa Clara,/clemente/profil/spieler/59372
£8.10m,£8.10m,None,Hertha BSC,Hertha BSC U19,Hertha BSC U17,/maximilian-mittelstadt/profil/spieler/282660
£450k,£900k,None,Santa Clara,FC Porto,Feirense,/ze-manuel/profil/spieler/113025
£18.00m,£22.50m,None,Celta de Vigo,Sevilla FC,Liverpool,/iago-aspas/profil/spieler/72047
£900k,£1.62m,None,Parma,Trapani,Reggina,/antonino-barilla/profil/spieler/39828
£900k,£900k,None,Y. Malatyaspor,AC Le Havre,Rodez AF,/issam-chebake/profil/spieler/332049
£225k,£540k,None,Ipswich,Bristol City,Colchester Utd.,/dean-gerken/profil/spieler/42055
£630k,£630k,None,Vélez Sarsfield,Argentinos Jrs,Italiano,/joaquin-laso/profil/spieler/360797
£45k,£11.25m,None,Zenit S-Pb,KS Samara,KS Samara II,/aleksandr-anyukov/profil/spieler/17749
£675k,£1.80m,None,F. Düsseldorf,MSV Duisburg,F. Düsseldorf,/havard-nielsen/profil/spieler/136181
£135k,£135k,None,QPR,Chesterfield FC,QPR,/osman-kakay/profil/spieler/419576
£675k,£675k,None,Greuther Fürth,Würzb. Kickers,1.FC Magdeburg,/sebastian-ernst/profil/spieler/108198
£6.75m,£6.75m,None,PSV Eindhoven,CF Pachuca,CF Pachuca U20,/erick-gutierrez/profil/spieler/298796
£2.25m,£2.25m,None,Sporting CP,Akhmat Grozny,RSC Anderlecht,/idrissa-doumbia/profil/spieler/430579
£540k,£630k,None,Cádiz CF,R. Majadahonda,Cádiz CF,/dani-romera/profil/spieler/271451
£270k,£360k,None,Argentinos Jrs,CA Cerro,Maldonado,/leandro-paiva/profil/spieler/269524
£31.50m,£40.50m,None,Bay. Leverkusen,KRC Genk,AS Trencin U19,/leon-bailey/profil/spieler/387626
£270k,£2.70m,None,Vasco da Gama,CA Rosario,CA Rosario,/german-herrera/profil/spieler/32710
£24.30m,£24.30m,None,Bor. Dortmund,Werder Bremen,FC Copenhagen,/thomas-delaney/profil/spieler/91849
£450k,£450k,None,Ipswich,St. Johnstone,Ipswich,/tristan-nydam/profil/spieler/483545
£360k,£360k,None,Anzhi,Anzhi II,No_team,/pavel-kaloshin/profil/spieler/605627
£18.00m,£18.00m,None,Chelsea,Everton,Chelsea,/kurt-zouma/profil/spieler/157509
£27.00m,£27.00m,None,RB Leipzig,Lyngby BK,Lyngby BK U19,/yussuf-poulsen/profil/spieler/157635
£2.03m,£2.03m,None,VfL Bochum,FC Ingolstadt,FC Wacker,/lukas-hinterseer/profil/spieler/59054
£2.25m,£4.50m,None,Reading,BJ Renhe,Reading,/sone-aluko/profil/spieler/42198
£810k,£5.40m,None,Vitesse,Dinamo Moscow,RSC Anderlecht,/alexander-buttner/profil/spieler/38003
£2.03m,£4.32m,None,Basaksehir,Anzhi,Dinamo Moscow,/alexandru-epureanu/profil/spieler/45340
0,0,None,Godoy Cruz,Vélez Sarsfield,Vélez II,/nahuel-arena/profil/spieler/552629
£90k,£720k,None,RCD Mallorca,Ponferradina,Gimnàstic,/xisco-campos/profil/spieler/70946
£900k,£1.35m,None,NY Red Bulls,Karlsruher SC,1.FC K'lautern,/luis-robles/profil/spieler/47289
£270k,£270k,None,SV Sandhausen,Hallescher FC,SV Sandhausen,/erik-zenga/profil/spieler/85961
£450k,£900k,None,Middlesbrough,Sheffield Utd.,Huddersfield,/martin-cranie/profil/spieler/27659
£450k,£450k,None,Willem II,Fortuna Sittard,Fortuna U19,/dries-saddiki/profil/spieler/370042
£54.00m,£54.00m,None,Man City,Athletic,Bilbao Athletic,/aymeric-laporte/profil/spieler/176553
£4.50m,£6.75m,None,Real Betis,Alavés,Real Betis,/takashi-inui/profil/spieler/98249
£225k,£225k,None,Orlando City SC,Toronto FC,Orlando B,/richie-laryea/profil/spieler/417348
£4.50m,£4.50m,None,Huddersfield,FC Copenhagen,PSV Eindhoven,/zanka/profil/spieler/52059
£900k,£2.25m,None,Bolton,Cardiff,Brighton,/craig-noone/profil/spieler/81202
£18.00m,£18.00m,None,Real Madrid,Real Betis,Betis B,/dani-ceballos/profil/spieler/319745
£2.25m,£2.25m,None,G. Bordeaux,Guingamp,G. Bordeaux,/alexandre-mendy/profil/spieler/290561
£2.25m,£5.40m,None,Man City,Girona,Man City,/douglas-luiz/profil/spieler/447661
£1.80m,£9.00m,None,Swansea,Alavés,Swansea,/borja-baston/profil/spieler/85324
£2.25m,£2.70m,None,F. Düsseldorf,FC St. Pauli,Holstein Kiel,/marvin-ducksch/profil/spieler/125103
£540k,£540k,None,Minnesota Utd.,Minnesota NASL,CU Bluejays,/brent-kallman/profil/spieler/226643
£40.50m,£40.50m,None,Inter,Dinamo Zagreb,Inter,/marcelo-brozovic/profil/spieler/156617
£1.80m,£2.48m,None,SM Caen,Montpellier,Mangasport,/casimir-ninga/profil/spieler/392810
£10.80m,£22.50m,None,Valencia,Atlético Madrid,Sevilla FC,/kevin-gameiro/profil/spieler/27389
£900k,£9.00m,None,PSV Eindhoven,Heerenveen,Heerenveen,/stijn-schaars/profil/spieler/4698
£315k,£675k,None,Vélez Sarsfield,Al-Ettifaq,Chacarita Jrs,/rodrigo-salinas/profil/spieler/125750
0,0,None,Vélez Sarsfield,Vélez II,No_team,/alejo-montero/profil/spieler/649998
£225k,£225k,None,CA Banfield,Banfield II,Banfield U20,/agustin-fontana/profil/spieler/345229
£1.80m,£3.60m,None,G. Bordeaux,SM Caen,G. Bordeaux,/paul-baysse/profil/spieler/43256
£900k,£900k,None,Patriotas,CA Rosario,Patriotas,/oscar-cabezas/profil/spieler/514299
£450k,£450k,None,FC Groningen,Feyenoord,FC Groningen,/mo-el-hankouri/profil/spieler/384587
£1.08m,£1.08m,None,Celta de Vigo,Granada CF,Celta de Vigo,/andrew-hjulsager/profil/spieler/167798
£180k,£3.15m,None,Chaves,Kansas,Kansas,/nuno-andre-coelho/profil/spieler/40858
£450k,£450k,None,Toronto FC,Toronto FC II,Toronto FC,/jay-chapman/profil/spieler/189032
£2.70m,£2.70m,None,Leicester,Sivasspor,Leicester,/fousseni-diabate/profil/spieler/364861
£540k,£540k,None,PEC Zwolle,Feyenoord,FC Dordrecht,/gustavo-hamer/profil/spieler/322985
£450k,£450k,None,FC Augsburg,SV Darmstadt 98,FC Augsburg,/tim-rieder/profil/spieler/111277
£5.40m,£21.60m,None,Inter,Udinese Calcio,Rimini,/samir-handanovic/profil/spieler/28021
£720k,£3.60m,None,Real Oviedo,Querétaro FC,Al Rayyan,/juan-forlin/profil/spieler/53332
£3.42m,£3.60m,None,Torino,Bologna,Torino,/lyanco/profil/spieler/379807
£900k,£3.15m,None,Bologna,Udinese Calcio,Bologna,/sebastien-de-maio/profil/spieler/56830
£1.80m,£2.70m,None,Cardiff,Aston Villa,Sheff Wed,/joe-bennett/profil/spieler/90964
£58.50m,£58.50m,None,Liverpool,AS Roma,Internacional,/alisson/profil/spieler/105470
£13.50m,£28.80m,None,Man City,Shakhtar D.,Atlético-PR,/fernandinho/profil/spieler/26267
£405k,£405k,None,Aldosivi,Aldosivi U20,No_team,/emanuel-iniguez/profil/spieler/542138
£450k,£450k,None,Extremadura,Danubio FC,Boston River,/giovanni-zarfino/profil/spieler/208022
£180k,£180k,None,Desportivo Aves,Alagoano,Madureira Esporte Clube (RJ),/jorge-fellipe/profil/spieler/132060
£9.00m,£9.00m,None,CSKA Moscow,CSKA Moscow II,DYuSSh CSKA,/fedor-chalov/profil/spieler/287183
£7.20m,£8.10m,None,Lazio,Braga,Monaco,/wallace/profil/spieler/225335
£90k,£675k,None,Estudiantes,Olimpo,Estudiantes,/mauricio-rosales/profil/spieler/251619
£900k,£900k,None,Stoke City,Stoke U23,Stoke U18,/tom-edwards/profil/spieler/430788
£2.70m,£7.65m,None,Atalanta,G. Bordeaux,Atalanta,/andreas-cornelius/profil/spieler/203412
£3.60m,£3.60m,None,G. Bordeaux,G. Bordeaux B,Bordeaux U19,/zaydou-youssouf/profil/spieler/471582
£2.25m,£2.25m,None,Cardiff,Rochdale,Peterborough,/nathaniel-mendez-laing/profil/spieler/125409
0,0,None,Birmingham,Birmingham U23,Birmingham U18,/charlie-lakin/profil/spieler/564048
0,0,None,Estudiantes,CA Sarmiento,Estudiantes,/nahuel-estevez/profil/spieler/552472
£5.40m,£5.40m,None,Montpellier,AJ Auxerre,Grenoble,/ruben-aguilar/profil/spieler/203746
£5.40m,£5.40m,None,Real Madrid,RM Castilla,Dep. La Coruña,/federico-valverde/profil/spieler/369081
£4.50m,£4.50m,None,Boca Juniors,Lanús,Arsenal FC,/esteban-andrada/profil/spieler/105888
£900k,£2.25m,None,1.FSV Mainz 05,FC Augsburg,SV Darmstadt 98,/dong-won-ji/profil/spieler/164265
£810k,£1.13m,None,Boavista,Marseille,AJ Auxerre,/stephane-sparagna/profil/spieler/289216
£45k,£450k,None,Santa Clara,Gil Vicente,Santa Clara,/serginho/profil/spieler/40555
£270k,£630k,None,FC St. Pauli,FC St. Pauli II,St. Pauli U19,/jan-philipp-kalla/profil/spieler/30985
£630k,£630k,None,Club Tijuana,Real Oviedo,Club Tijuana,/yoel-barcenas/profil/spieler/283473
£810k,£1.35m,None,Kansas,Wigan,Kansas,/roger-espinoza/profil/spieler/71096
£900k,£900k,None,Dijon,Club Mantois 78,Cergy Pontoise,/senou-coulibaly/profil/spieler/596240
£9.00m,£13.50m,None,Arsenal,Málaga CF,CA Osasuna,/nacho-monreal/profil/spieler/43003
£13.50m,£13.50m,None,Inter,Parma,Inter,/alessandro-bastoni/profil/spieler/315853
£6.75m,£16.20m,None,Dinamo Moscow,Zenit S-Pb,Zenit S-Pb,/aleksandr-kokorin/profil/spieler/89086
£540k,£540k,None,R. Strasbourg,SR Colmar,SR Delémont,/jeremy-grimm/profil/spieler/56294
£225k,£225k,None,Rotherham,Walsall,Wolves,/anthony-forde/profil/spieler/146494
£1.80m,£3.60m,None,Genoa,Red Star,Borac Cacak,/darko-lazovic/profil/spieler/70411
£810k,£810k,None,Hamburger SV,Hamburger SV II,FC Zürich,/vasilije-janjicic/profil/spieler/265254
£2.70m,£2.70m,None,Boavista,Boavista U19,Penafiel U17,/goncalo-cardoso/profil/spieler/587106
£4.50m,£4.50m,None,Hellas Verona,Genoa,Hellas Verona,/daniel-bessa/profil/spieler/140757
£585k,£765k,None,Heracles Almelo,FC Groningen,Excelsior,/yoell-van-nieff/profil/spieler/187301
£27.00m,£31.50m,None,Lazio,Liverpool,Dep. La Coruña,/luis-alberto/profil/spieler/128220
£2.70m,£2.70m,None,Spartak Moscow,Rostov,Spartak 2,/ayaz-guliev/profil/spieler/260672
£2.70m,£2.70m,None,Krasnodar,Ural,Krasnodar,/aleksandr-martynovich/profil/spieler/59352
£630k,£630k,None,São Caetano,Moreirense,São Caetano,/neto/profil/spieler/291968
£1.13m,£1.58m,None,Chicago Fire,NY Red Bulls,D.C. United,/dax-mccarty/profil/spieler/39479
£1.13m,£1.13m,None,Braga B,Chaves,Braga B,/luther-singh/profil/spieler/387378
£68k,£68k,None,FC Twente U21,Heracles Almelo,Heracles Almelo,/zeki-erkilinc/profil/spieler/387218
£900k,£22.50m,None,Crystal Palace,Basaksehir,Crystal Palace,/emmanuel-adebayor/profil/spieler/8883
£4.50m,£6.30m,None,SSC Napoli,Ajax,Bor. M'gladbach,/amin-younes/profil/spieler/96167
£1.08m,£1.44m,None,SPAL,Latina Calcio,Spezia Calcio,/pasquale-schiattarella/profil/spieler/56762
£3.60m,£9.00m,None,VfB Stuttgart,Atlético Madrid,Rayo Vallecano,/emiliano-insua/profil/spieler/45599
£900k,£3.15m,None,FC Augsburg,VfL Wolfsburg,FC Augsburg,/daniel-baier/profil/spieler/4018
£4.50m,£4.50m,None,Fulham,Besiktas,Dep. La Coruña,/fabri/profil/spieler/45882
£1.13m,£1.13m,None,Hull City,PSV Eindhoven,Excelsior,/jordy-de-wijs/profil/spieler/215096
£2.25m,£2.70m,None,West Brom,Reading,Swindon Town,/hal-robson-kanu/profil/spieler/65976
£900k,£900k,None,Reims,Clermont Foot,AJ Auxerre,/thomas-fontaine/profil/spieler/80036
£13.50m,£16.20m,None,Stoke City,Liverpool,Swansea,/joe-allen/profil/spieler/51452
£630k,£675k,None,Salt Lake,Vålerenga,Wuhan Zall Res.,/sam-johnson/profil/spieler/252062
£2.25m,£5.40m,None,Hannover 96,TSG Hoffenheim,E. Frankfurt,/pirmin-schwegler/profil/spieler/14533
£9.00m,£9.00m,None,Málaga CF,Alavés,Málaga CF,/jony/profil/spieler/228761
£6.75m,£6.75m,None,Sporting CP,Fluminense,Fluminense U20,/wendel/profil/spieler/499721
£2.70m,£2.93m,None,Braga,Ahli,Club Brugge,/claudemir/profil/spieler/68275
£900k,£900k,None,SD Huesca,Córdoba CF,Córdoba CF B,/javi-galan/profil/spieler/448628
£360k,£360k,None,Bay. Leverkusen,SV Sandhausen,Bay. Leverkusen,/niklas-lomb/profil/spieler/85543
£3.60m,£3.60m,None,Montpellier,FC Niort,Montpellier,/junior-sambia/profil/spieler/335147
£450k,£2.25m,None,Bolton,Wigan,Bolton,/andrew-taylor/profil/spieler/29158
£1.80m,£1.80m,None,Real Valladolid,Granada CF,Real Valladolid,/fede-san-emeterio/profil/spieler/307519
£720k,£720k,None,CD Numancia,Elche CF,CD Numancia,/dani-calvo/profil/spieler/326416
£4.95m,£10.80m,None,Stoke City,Hannover 96,Stoke City,/kevin-wimmer/profil/spieler/122675
£4.05m,£4.05m,None,Independiente,Torino,Cruzeiro,/juan-sanchez-mino/profil/spieler/169249
£2.70m,£5.40m,None,Rayo Vallecano,HB CFFC,SC Amiens,/gael-kakuta/profil/spieler/74297
0,0,None,CA Rosario,Rosario B,No_team,/facundo-almada/profil/spieler/639390
£1.35m,£1.35m,None,Sheffield Utd.,Ipswich,Nottm Forest,/david-mcgoldrick/profil/spieler/35416
£720k,£720k,None,Heracles Almelo,FC Eindhoven,Club Brugge,/dario-van-den-buijs/profil/spieler/235274
£68k,£90k,None,Hamburger SV II,Hamburger SV,Hamburg U19,/mats-kohlert/profil/spieler/288067
£6.30m,£7.20m,None,Monaco,Newcastle,Monaco,/antonio-barreca/profil/spieler/241889
£2.25m,£2.25m,None,Real Sociedad,Real Sociedad B,Real Unión,/andoni-gorosabel/profil/spieler/289255
£1.80m,£1.80m,None,SC Bastia B,Dijon,FC Atouga,/jules-keita/profil/spieler/402117
£675k,£675k,None,Everton,Ipswich,Everton,/matthew-pennington/profil/spieler/220755
£675k,£675k,None,Cincinnati,NY Cosmos,NY Cosmos,/emmanuel-ledesma/profil/spieler/62247
£495k,£1.58m,None,SV Darmstadt 98,SC Freiburg,SC Freiburg II,/immanuel-hohn/profil/spieler/77920
£450k,£4.50m,None,Sassuolo,Juventus,Atalanta,/federico-peluso/profil/spieler/21763
£180k,£6.30m,None,SPAL,Chievo Verona,Chievo Verona,/sergio-pellissier/profil/spieler/5928
£900k,£900k,None,Brighton,Wigan,Brighton,/christian-walton/profil/spieler/208379
£225k,£900k,None,Trabzonspor,Sanliurfaspor,Trabzonspor,/batuhan-artarslan/profil/spieler/237481
£720k,£4.50m,None,Zenit S-Pb,Rostov,Zenit S-Pb,/ivan-novoseltsev/profil/spieler/231873
£4.50m,£4.50m,None,Cardiff,Heart of Midl.,Hearts FC U20,/callum-paterson/profil/spieler/169555
£31.50m,£31.50m,None,Spurs,Burnley,Man City Res.,/kieran-trippier/profil/spieler/95810
£4.50m,£5.40m,None,Feyenoord,AZ Alkmaar,Go Ahead Eagles,/ridgeciano-haps/profil/spieler/228444
£450k,£450k,None,Sheffield Utd.,Birmingham,Burton Albion,/mark-duffy/profil/spieler/105565
£15.75m,£15.75m,None,Torino,AS Roma,Torino,/iago-falque/profil/spieler/59340
£3.15m,£3.15m,None,Watford,Getafe,Watford,/dimitri-foulquier/profil/spieler/170472
£8.10m,£13.50m,None,Olympique Lyon,Man Utd,Man Utd U18,/rafael/profil/spieler/61892
£270k,£450k,None,Chievo Verona,AS Avellino,Chievo Verona,/andrea-seculin/profil/spieler/85380
£540k,£540k,None,Los Angeles FC,Louisville City,Toronto FC II,/mark-anthony-kaye/profil/spieler/343553
£360k,£540k,None,SV Sandhausen,VfR Aalen,Dynamo Dresden,/tim-kister/profil/spieler/54767
£765k,£3.38m,None,Konyaspor,Trabzonspor,Osmanlispor,/ugur-demirok/profil/spieler/44977
0,0,None,Estudiantes,Estudiantes U20,No_team,/matias-pellegrini/profil/spieler/606267
£1.80m,£9.00m,None,Hertha BSC,VfB Stuttgart,Hertha BSC,/vedad-ibisevic/profil/spieler/21175
£1.13m,£1.13m,None,Dijon,Dijon,No_team,/jordan-marie/profil/spieler/231025
£630k,£675k,None,Coimbra-MG,Belenenses SAD,Coimbra-MG,/eduardo-henrique/profil/spieler/216118
£1.35m,£1.35m,None,NY Red Bulls,Vancouver,Red Storm,/tim-parker/profil/spieler/354737
£450k,£18.00m,None,Zenit S-Pb,Dinamo Moscow,Anzhi,/yuri-zhirkov/profil/spieler/16760
£27.00m,£27.00m,None,Real Madrid,Bor. Dortmund,Real Madrid,/achraf-hakimi/profil/spieler/398073
£7.20m,£7.20m,None,Marseille,FC Metz,FC Metz B,/bouna-sarr/profil/spieler/190685
£5.40m,£5.40m,None,Valencia,Levante,Valencia,/ruben-vezo/profil/spieler/257851
£7.20m,£7.20m,None,Dijon,LOSC Lille,Dijon,/naim-sliti/profil/spieler/184491
£11.70m,£11.70m,None,Zenit S-Pb,Arsenal Tula,Zenit S-Pb,/artem-dzyuba/profil/spieler/48067
£4.05m,£4.05m,None,Godoy Cruz,Godoy Cruz II,Godoy Cruz U20,/angel-gonzalez/profil/spieler/347920
£2.25m,£3.60m,None,PSV Eindhoven,PSV U21,Desportivo U20,/mauro-junior/profil/spieler/323910
£900k,£1.80m,None,Ipswich,Notts County,Southampton,/bartosz-bialkowski/profil/spieler/24496
£270k,£31.50m,None,Extremadura,XJ T. Leopard,Córdoba CF,/jose-antonio-reyes/profil/spieler/7717
£1.35m,£1.35m,None,Huddersfield,1.FC Nuremberg,Nuremberg II,/abdelhamid-sabiri/profil/spieler/340394
£2.25m,£2.25m,None,Man Utd U23,Sheffield Utd.,Man Utd U23,/dean-henderson/profil/spieler/258919
£900k,£1.80m,None,Birmingham,FC Groningen,Go Ahead Eagles,/maikel-kieftenbeld/profil/spieler/82332
£1.80m,£14.40m,None,Middlesbrough,West Ham,Liverpool,/stewart-downing/profil/spieler/4063
£900k,£1.13m,None,Vitesse,FC Zürich,Panathinaikos,/rasmus-thelander/profil/spieler/129092
£4.50m,£4.50m,None,Toulouse,Dijon,FC Lorient,/baptiste-reynet/profil/spieler/190786
£360k,£720k,None,CD Lugo,Gimnàstic,Sporting Gijón,/juan-muniz/profil/spieler/85357
£1.35m,£1.35m,None,QPR,Huddersfield,Nottm Forest,/joel-lynch/profil/spieler/33070
£225k,£2.25m,None,Guingamp,SM Caen,SM Caen B,/jeremy-sorbon/profil/spieler/56820
£900k,£900k,None,Getafe,UD Las Palmas,Spezia Calcio,/leandro-chichizola/profil/spieler/95736
£450k,£450k,None,W. Bremen II,FC St. Pauli,W. Bremen II,/luca-zander/profil/spieler/139278
£90k,£405k,None,BJ Guoan,Guangdong,No_team,/zhi-yang/profil/spieler/63522
£405k,£1.13m,None,1.FC Heidenheim,VfR Aalen,Arm. Bielefeld,/arne-feick/profil/spieler/38609
£1.58m,£1.80m,None,Rio Ave FC,Rio Ave FC U19,Benfica U17,/nelson-monte/profil/spieler/332615
£540k,£11.70m,None,Antalyaspor,Y. Malatyaspor,Aston Villa,/aly-cissokho/profil/spieler/57515
£22.50m,£22.50m,None,Sampdoria,RSC Anderlecht,Anderlecht U19,/dennis-praet/profil/spieler/129588
£9.00m,£9.00m,None,G. Bordeaux,Paris SG,G. Bordeaux,/youssouf-sabaly/profil/spieler/135492
£270k,£585k,None,Alanyaspor,Samsunspor,Adana Demirspor,/taha-yalciner/profil/spieler/51938
£4.95m,£6.30m,None,Zenit S-Pb,Rubin Kazan,Zenit S-Pb,/dmitri-poloz/profil/spieler/98539
£900k,£900k,None,Swansea,Nottm Forest,Rangers,/barrie-mckay/profil/spieler/208934
£810k,£810k,None,Dijon,FC Sochaux,Bourg-en-Bresse,/mickael-alphonse/profil/spieler/172153
£113k,£135k,None,Desportivo Aves,Aves U23,Desportivo Aves,/abdoulaye-diallo/profil/spieler/415271
£2.25m,£2.25m,None,Los Angeles FC,Hull City,Stabæk,/adama-diomande/profil/spieler/93145
£1.58m,£1.58m,None,Willem II,SC Cambuur,Willem II,/dan-crowley/profil/spieler/223225
£720k,£900k,None,Dinamo Zagreb,Chievo Verona,Dinamo Zagreb,/adrian-semper/profil/spieler/317057
£13.50m,£16.20m,None,Wolves,RSC Anderlecht,Wolves,/leander-dendoncker/profil/spieler/168157
£2.70m,£2.70m,None,Hannover 96,Karlsruher SC,Karlsruhe U19,/florent-muslija/profil/spieler/337036
£13.50m,£13.50m,None,Genoa,Belgrano,Belgrano II,/cristian-romero/profil/spieler/355915
£1.80m,£4.50m,None,Bolton,Newcastle,Bolton,/sammy-ameobi/profil/spieler/92381
£13.50m,£13.50m,None,Bournemouth,Blackburn,Man Utd,/joshua-king/profil/spieler/91059
£540k,£5.40m,None,Basaksehir,Ahli,Braga,/marcio-mossoro/profil/spieler/45596
£4.50m,£4.50m,None,Sampdoria,Leeds,Leeds U18,/ronaldo-vieira/profil/spieler/434676
£1.35m,£1.35m,None,Sevilla Atl.,Dep. La Coruña,Sevilla Atl.,/carlos-fernandez/profil/spieler/216464
£1.08m,£2.52m,None,Alavés,FC Astana,Spartaks,/patrick-twumasi/profil/spieler/188651
£900k,£1.80m,None,Arsenal Tula,Ethnikos,Ethnikos,/gia-grigalava/profil/spieler/52089
£6.30m,£9.90m,None,Stoke City,Man Utd U23,Stoke City,/ryan-shawcross/profil/spieler/45861
£630k,£720k,None,Real Oviedo,Gimnàstic,Atl. Levante,/mossa/profil/spieler/96094
£405k,£405k,None,FC Dallas,Dallas Academy,No_team,/paxton-pomykal/profil/spieler/455978
£45.00m,£45.00m,None,Arsenal,Bor. M'gladbach,FC Basel,/granit-xhaka/profil/spieler/111455
£27.00m,£36.00m,None,Valencia,Paris SG,Valencia,/goncalo-guedes/profil/spieler/225122
£540k,£540k,None,Godoy Cruz,Godoy Cruz II,Godoy Cruz U20,/agustin-verdugo/profil/spieler/528270
£9.00m,£36.00m,None,Paris SG,AC Milan,Fluminense,/thiago-silva/profil/spieler/29241
£540k,£540k,None,Kansas,Montreal Impact,Kansas,/seth-sinovic/profil/spieler/144959
£180k,£203k,None,Sounders FC,Sounders FC 2,Sounders FC,/henry-wingo/profil/spieler/378478
£450k,£540k,None,Real Zaragoza,Reus Deportiu,Sporting B,/alberto-benito/profil/spieler/263748
£720k,£900k,None,Colorado,Cincinnati,Vancouver,/kei-kamara/profil/spieler/39049
£2.70m,£2.70m,None,Rubin Kazan,Rubin Kazan II,Neftekhimik,/egor-sorokin/profil/spieler/288721
£900k,£900k,None,Southampton,Middlesbrough,Southampton,/sam-mcqueen/profil/spieler/226968
£3.15m,£3.15m,None,R. Strasbourg,KAA Gent,SC Freiburg,/stefan-mitrovic/profil/spieler/143029
£540k,£630k,None,Montreal Impact,CP Baltimore,Cleveland City,/evan-bush/profil/spieler/148916
£4.05m,£4.05m,None,Braga,Gil Vicente,Trofense,/paulinho/profil/spieler/211072
£3.15m,£4.50m,None,River Plate,Liverpool FC,Liverpool U19,/nicolas-de-la-cruz/profil/spieler/397458
£270k,£270k,None,Toronto FC,Toronto FC II,Toronto FC,/jordan-hamilton/profil/spieler/294707
£1.80m,£2.70m,None,Feyenoord,Feyenoord U19,Feyenoord U17,/tyrell-malacia/profil/spieler/339340
£810k,£1.80m,None,Zenit S-Pb,Rostov,Zenit 2 S-Pb,/denis-terentjev/profil/spieler/144583
£3.60m,£3.60m,None,Torino,SPAL,Torino,/kevin-bonifazi/profil/spieler/247377
£2.25m,£2.70m,None,E. Frankfurt,Bröndby IF,AC Horsens,/frederik-ronnow/profil/spieler/107775
£608k,£608k,None,Vancouver,Whitecaps Res,No_team,/russell-teibert/profil/spieler/103627
£180k,£675k,None,Lanús,Defensa,Lanús,/fernando-barrientos/profil/spieler/154292
0,0,None,Orlando City SC,FIU Panthers,Sounders U23,/santiago-patino/profil/spieler/644780
£2.25m,£7.65m,None,Rayo Vallecano,FC Schalke 04,Werder Bremen,/franco-di-santo/profil/spieler/59783
£4.50m,£4.50m,None,E. Frankfurt,Real Madrid,CA Osasuna,/lucas-torro/profil/spieler/213670
£27.00m,£27.00m,None,PSV Eindhoven,PSV U21,PSV U19,/steven-bergwijn/profil/spieler/284165
£495k,£3.60m,None,Al-Nasr,Bursaspor,Bursaspor,/jires-kembo-ekoko/profil/spieler/40446
£360k,£360k,None,KS Samara,Red Star,Spartak,/vanja-vucicevic/profil/spieler/423612
£720k,£900k,None,Argentinos Jrs,Argentinos U20,No_team,/lucas-chaves/profil/spieler/360791
£270k,£450k,None,Moreirense,Juventude,EC Juventude B,/alan-schons/profil/spieler/378866
£3.60m,£3.60m,None,Braga,Sporting CP,Coimbra,/ricardo-esgaio/profil/spieler/139395
£4.50m,£4.50m,None,Newcastle,Sparta Praha,Newcastle,/martin-dubravka/profil/spieler/74960
£9.00m,£31.50m,None,Man City,Hamburger SV,RSC Anderlecht,/vincent-kompany/profil/spieler/9594
£630k,£765k,None,Bursaspor,Anorthosis,União Madeira,/abdullahi-shehu/profil/spieler/262687
£2.70m,£2.70m,None,Arsenal,PAS Giannina,Apollon U20,/konstantinos-mavropanos/profil/spieler/415912
