current_value,highest_value,outfitter,last_team,prev_team,prev_prev_team,link
£2.70m,£9.00m,None,E. Frankfurt,SSC Napoli,Chievo Verona,/jonathan-de-guzman/profil/spieler/31067
£13.50m,£13.50m,None,Boca Juniors,América,Club Tijuana,/dario-benedetto/profil/spieler/92693
£1.80m,£2.25m,None,Braga,Anápolis-GO,Coimbra,/marcelo-goiano/profil/spieler/248903
£360k,£360k,None,CD Lugo,Dep. Aragón,Zaragoza Juv. A,/sergio-gil/profil/spieler/255994
£5.40m,£5.40m,None,Boca Juniors,Huracán,Boca Juniors,/ramon-abila/profil/spieler/88049
£1.13m,£1.13m,None,Kansas,KV Mechelen,OH Leuven,/yohan-croizet/profil/spieler/195910
£630k,£630k,None,Erzgebirge Aue,K'lautern II,K'lautern U19,/calogero-rizzuto/profil/spieler/93753
£720k,£9.00m,None,KS Samara,Spartak Moscow,Loko Moscow,/aleksandr-samedov/profil/spieler/15076
£900k,£3.60m,None,Sunderland,Wigan,Everton,/darron-gibson/profil/spieler/42413
£1.35m,£4.05m,None,Sivasspor,Dynamo Kyiv,Sivasspor,/serhii-rybalka/profil/spieler/81649
£540k,£720k,None,Benfica B,Santa Clara,Benfica B,/martin-chrien/profil/spieler/252712
£2.70m,£2.70m,None,SD Huesca,Sint-Truiden,Albacete,/jorge-pulido/profil/spieler/67546
£3.15m,£5.85m,None,West Brom,Nottm Forest,Racing Club,/claudio-yacob/profil/spieler/45330
£1.35m,£1.80m,None,Granada CF,CQ Dangdai Lif.,Lanús,/nicolas-aguirre/profil/spieler/88166
£1.26m,£2.70m,None,Vélez Sarsfield,Vélez II,Vélez U20,/lautaro-gianetti/profil/spieler/225963
£2.70m,£5.40m,None,Cardiff,FC Lorient,SCO Angers,/bruno-ecuele-manga/profil/spieler/60990
£4.50m,£4.50m,None,Swansea,Barnsley FC,Swansea,/oliver-mcburnie/profil/spieler/298477
£180k,£720k,None,Antalyaspor,Genclerbirligi,Dardanelspor,/ferhat-kaplan/profil/spieler/93104
£1.13m,£4.50m,None,Konyaspor,Werder Bremen,FC Metz,/fallou-diagne/profil/spieler/82389
£12.60m,£12.60m,None,Real Betis,Reims,Stade Reims B,/aissa-mandi/profil/spieler/80293
£450k,£450k,None,1.FSV Mainz 05,Holstein Kiel,1.FSV Mainz 05,/aaron-seydel/profil/spieler/187499
£31.50m,£31.50m,None,Celta de Vigo,Defensor,Defensor U19,/maximiliano-gomez/profil/spieler/396894
£8.10m,£8.10m,None,Krasnodar,Torpedo Moscow,Luch Vladivostok,/yuri-gazinskiy/profil/spieler/159957
£2.70m,£3.60m,None,Guingamp,Évian,SM Caen,/nicolas-benezet/profil/spieler/164230
