player,days_missed,games_missed
/pavel-yakovlev/profil/spieler/63170,42,7
/nicola-sansone/profil/spieler/82048,180,33
/marc-cucurella/profil/spieler/284857,85,1
/jan-ingwer-callsen-bracker/profil/spieler/3851,1301,143
/clement-lenglet/profil/spieler/182904,6,1
/jonathan-de-guzman/profil/spieler/31067,513,75
/dario-benedetto/profil/spieler/92693,288,31
/marcelo-goiano/profil/spieler/248903,60,10
/sergio-gil/profil/spieler/255994,119,18
/ramon-abila/profil/spieler/88049,34,7
/yohan-croizet/profil/spieler/195910,0,0
/calogero-rizzuto/profil/spieler/93753,60,7
/aleksandr-samedov/profil/spieler/15076,93,10
/darron-gibson/profil/spieler/42413,763,104
/serhii-rybalka/profil/spieler/81649,17,3
/martin-chrien/profil/spieler/252712,51,3
/jorge-pulido/profil/spieler/67546,60,11
/claudio-yacob/profil/spieler/45330,65,12
/nicolas-aguirre/profil/spieler/88166,0,0
/lautaro-gianetti/profil/spieler/225963,0,0
/bruno-ecuele-manga/profil/spieler/60990,184,26
/oliver-mcburnie/profil/spieler/298477,0,0
/ferhat-kaplan/profil/spieler/93104,21,3
/fallou-diagne/profil/spieler/82389,157,32
/aissa-mandi/profil/spieler/80293,80,11
/aaron-seydel/profil/spieler/187499,338,33
/maximiliano-gomez/profil/spieler/396894,0,0
/yuri-gazinskiy/profil/spieler/159957,0,0
/nicolas-benezet/profil/spieler/164230,430,48
/john-goossens/profil/spieler/35527,815,61
/ruud-boffin/profil/spieler/31336,50,11
/tomas-hubocan/profil/spieler/63252,207,41
/nick-kuipers/profil/spieler/159032,482,51
/papiss-demba-cisse/profil/spieler/33952,232,26
/ben-amos/profil/spieler/73472,0,0
/nikola-maras/profil/spieler/258475,45,7
/yann-aurel-bisseck/profil/spieler/441986,3,0
/yeray-alvarez/profil/spieler/255488,294,43
/ivan-gomez/profil/spieler/459318,0,0
/iker-casillas/profil/spieler/3979,77,15
/maximilian-jansen/profil/spieler/149209,573,68
/dominik-baumgartner/profil/spieler/206906,589,82
/niki-jackson/profil/spieler/544390,0,0
/mathias-suarez/profil/spieler/294895,17,3
/nikola-stojiljkovic/profil/spieler/113504,77,13
/jordan-teze/profil/spieler/364245,0,0
/nikola-vukcevic/profil/spieler/151470,56,7
/asier-illarramendi/profil/spieler/59344,199,30
/claudio-marchisio/profil/spieler/44716,476,55
/iddrisu-baba/profil/spieler/442805,0,0
/kristoffer-olsson/profil/spieler/193592,136,14
/ilzat-akhmetov/profil/spieler/334440,43,6
/lucas-digne/profil/spieler/126664,79,19
/ravanelli/profil/spieler/390370,204,7
/lionel-messi/profil/spieler/28003,200,34
/raul-albiol/profil/spieler/15452,219,43
/rodrigo-brana/profil/spieler/56001,34,5
/josh-sargent/profil/spieler/393325,0,0
/gonzalo-castellani/profil/spieler/87840,0,0
/dominik-kohr/profil/spieler/118847,77,14
/timur-zhamaletdinov/profil/spieler/315557,34,1
/pawel-jaroszynski/profil/spieler/287600,162,23
/rani-khedira/profil/spieler/124410,179,23
/lisandro-martinez/profil/spieler/480762,0,0
/ahmed-ildiz/profil/spieler/226169,0,0
/erick-cabaco/profil/spieler/302991,55,10
/salih-dursun/profil/spieler/176961,451,66
/rouwen-hennings/profil/spieler/16311,131,19
/javier-manquillo/profil/spieler/162029,54,12
/vincent-manceau/profil/spieler/83132,0,0
/adis-jahovic/profil/spieler/98536,10,1
/tom-carroll/profil/spieler/121279,201,18
/jonathan-biabiany/profil/spieler/45567,0,0
/nahuel-molina/profil/spieler/424042,0,0
/jonas-martin/profil/spieler/127142,80,9
/marlon-ritter/profil/spieler/151636,100,12
/ayoub-el-kaabi/profil/spieler/521127,0,0
/adam-smith/profil/spieler/61841,201,26
/chris-lowe/profil/spieler/55125,237,26
/sem-steijn/profil/spieler/593519,0,0
/alex-telles/profil/spieler/255755,0,0
/jorrit-hendrix/profil/spieler/205004,260,29
/marco-asensio/profil/spieler/296622,55,14
/timo-baumgartl/profil/spieler/187491,208,26
/javi-fuego/profil/spieler/56134,363,57
/joao-teixeira/profil/spieler/182710,286,39
/facundo-piriz/profil/spieler/148607,83,16
/younes-namli/profil/spieler/227039,261,26
/arturo-calabresi/profil/spieler/240897,0,0
/niklas-sule/profil/spieler/166601,0,0
/kyle-bartley/profil/spieler/67421,573,89
/ryan-manning/profil/spieler/262300,28,4
/omar-browne/profil/spieler/189523,0,0
/sergey-petrov/profil/spieler/102581,396,47
/ezequiel-unsain/profil/spieler/337600,45,5
/pele/profil/spieler/99189,0,0
/fabio-quagliarella/profil/spieler/22328,231,42
/mubarak-wakaso/profil/spieler/45639,81,16
/lionn/profil/spieler/75116,147,22
/gaston-bojanich/profil/spieler/357337,0,0
/rodrigo-de-paul/profil/spieler/255901,0,0
/bruno-martins-indi/profil/spieler/112052,105,15
/pierrick-capelle/profil/spieler/214532,184,23
/jonathan-osorio/profil/spieler/260807,20,3
/giorgi-papunashvili/profil/spieler/214259,206,22
/lukas-gugganig/profil/spieler/164142,0,0
/drew-moor/profil/spieler/39503,465,60
/julian-brandt/profil/spieler/187492,0,0
/denis-thomalla/profil/spieler/94030,240,25
/sergio-ramos/profil/spieler/25557,203,35
/giorgi-aburjania/profil/spieler/186848,154,23
/nathan-byrne/profil/spieler/121276,0,0
/faycal-fajr/profil/spieler/174344,0,0
/richonell-margaret/profil/spieler/465326,0,0
/guilherme-oliveira/profil/spieler/257369,0,0
/artem-rebrov/profil/spieler/15680,735,56
/yohan-benalouane/profil/spieler/50477,210,18
/milton-alvarez/profil/spieler/526527,0,0
/johan-blomberg/profil/spieler/107539,0,0
/diego-valoyes/profil/spieler/413983,0,0
/milan-lukac/profil/spieler/47024,99,21
/sven-michel/profil/spieler/186988,316,55
/jannik-dehm/profil/spieler/211671,0,0
/james-milner/profil/spieler/3333,116,18
/miguel-veloso/profil/spieler/43848,302,46
/cristian-ansaldi/profil/spieler/55854,335,53
/fabian-henriquez/profil/spieler/400611,0,0
/ruben-duarte/profil/spieler/177046,97,7
/nildo-petrolina/profil/spieler/158427,243,33
/emiliano-velazquez/profil/spieler/189458,130,22
/chris-basham/profil/spieler/52495,51,9
/maciej-wilusz/profil/spieler/42109,220,22
/gerard-moreno/profil/spieler/177467,56,7
/ciro-rius/profil/spieler/101875,0,0
/nikolay-markov/profil/spieler/89088,0,0
/zelimkhan-bakaev/profil/spieler/279242,0,0
/maxime-le-marchand/profil/spieler/60558,101,17
/john-guidetti/profil/spieler/98596,474,83
/antonis-aidonis/profil/spieler/405674,0,0
/assil-jaziri/profil/spieler/633398,0,0
/guilherme/profil/spieler/55369,985,111
/alfredo-morales/profil/spieler/58500,71,11
/claudio-falcao/profil/spieler/437566,31,4
/accioly/profil/spieler/56054,69,8
/carlos-soler/profil/spieler/372246,47,9
/dani-schahin/profil/spieler/58437,0,0
/miguel-linares/profil/spieler/95504,411,42
/danil-lipovoy/profil/spieler/462988,0,0
/shawn-parker/profil/spieler/89659,677,78
/alvaro-vadillo/profil/spieler/162074,0,0
/stefan-johansen/profil/spieler/62008,45,10
/iker-muniain/profil/spieler/54235,470,78
/daniel-heuer-fernandes/profil/spieler/84993,44,6
/jason-puncheon/profil/spieler/47995,276,29
/cian-harries/profil/spieler/319300,0,0
/oliver-skipp/profil/spieler/406638,0,0
/kylian-mbappe/profil/spieler/342229,76,11
/edimilson-fernandes/profil/spieler/247555,208,37
/kortney-hause/profil/spieler/233124,129,23
/minhoca/profil/spieler/194177,153,25
/gersom-klok/profil/spieler/56325,43,6
/georgios-tzavellas/profil/spieler/42942,177,28
/david-costas/profil/spieler/276111,139,21
/marcus-epps/profil/spieler/482646,0,0
/odil-akhmedov/profil/spieler/63606,61,19
/javier-gandolfi/profil/spieler/26242,0,0
/daniel-salloi/profil/spieler/321946,25,4
/chey-dunkley/profil/spieler/217094,0,0
/martin-hinteregger/profil/spieler/85789,150,19
/erik-holt/profil/spieler/510344,40,5
/tim-knipping/profil/spieler/185520,318,30
/ryad-boudebouz/profil/spieler/77826,415,10
/marek-hamsik/profil/spieler/38593,97,16
/luquinhas/profil/spieler/402825,0,0
/branislav-ivanovic/profil/spieler/36827,114,24
/florian-kruger/profil/spieler/317740,258,25
/cameron-carter-vickers/profil/spieler/341049,17,4
/lewis-walker/profil/spieler/430801,0,0
/rui-patricio/profil/spieler/45026,27,1
/magomed-elmurzaev/profil/spieler/450282,0,0
/ivan-arboleda/profil/spieler/260740,0,0
/alvaro-raton/profil/spieler/248551,0,0
/wesley-lautoa/profil/spieler/154199,331,52
/diogo-goncalves/profil/spieler/258015,0,0
/tomas-rincon/profil/spieler/75942,206,23
/samuel-chukwueze/profil/spieler/401922,0,0
/simone-iacoponi/profil/spieler/59699,0,0
/oliver-sorg/profil/spieler/55114,165,23
/marcos-acuna/profil/spieler/60410,30,5
/xadas/profil/spieler/345345,109,18
/nicola-dalmonte/profil/spieler/301237,58,9
