age,link
19,/samuel-chukwueze/profil/spieler/401922
32,/simone-iacoponi/profil/spieler/59699
28,/oliver-sorg/profil/spieler/55114
27,/marcos-acuna/profil/spieler/60410
21,/xadas/profil/spieler/345345
21,/nicola-dalmonte/profil/spieler/301237
27,/lennart-thy/profil/spieler/23553
24,/juan-andrada/profil/spieler/457212
29,/jan-moravek/profil/spieler/63022
33,/nicolas-domingo/profil/spieler/39150
28,/kevin-kampl/profil/spieler/53418
28,/kofi-opare/profil/spieler/256357
26,/mitchell-dijks/profil/spieler/187245
28,/gotoku-sakai/profil/spieler/103310
29,/vlad-chiriches/profil/spieler/123261
27,/artur-nigmatullin/profil/spieler/70074
30,/romain-thomas/profil/spieler/57467
23,/derrick-luckassen/profil/spieler/241457
31,/oscar-trejo/profil/spieler/30321
21,/dominik-reimann/profil/spieler/238722
19,/moataz-zemzemi/profil/spieler/422893
27,/nils-roseler/profil/spieler/47740
32,/tomer-hemed/profil/spieler/112668
21,/olivier-boscagli/profil/spieler/318508
21,/tristan-dekker/profil/spieler/315124
20,/jan-kral/profil/spieler/358132
20,/jovane-cabral/profil/spieler/448466
24,/alex-ferrari/profil/spieler/197491
20,/marwin-reuvers/profil/spieler/470910
19,/ayo-akinola/profil/spieler/370979
22,/alessandro-murgia/profil/spieler/289061
29,/daniel-didavi/profil/spieler/57995
27,/andrey-lunev/profil/spieler/112541
28,/ilkay-gundogan/profil/spieler/53622
30,/dani-parejo/profil/spieler/59561
31,/sandro-wagner/profil/spieler/39743
21,/nikola-vlasic/profil/spieler/293200
20,/svante-ingelsson/profil/spieler/321079
28,/yannick-stark/profil/spieler/49737
25,/pablo-mari/profil/spieler/210178
25,/rui-silva/profil/spieler/234811
22,/gedion-zelalem/profil/spieler/228370
22,/thijmen-goppel/profil/spieler/342240
24,/nolan-mbemba/profil/spieler/276768
25,/frank-acheampong/profil/spieler/157160
27,/sebastian-palacios/profil/spieler/262861
29,/tono/profil/spieler/125931
19,/boubacar-kamara/profil/spieler/394327
22,/felix-eboa-eboa/profil/spieler/296359
28,/molla-wague/profil/spieler/129893
25,/eric-dier/profil/spieler/175722
21,/tate-schmitt/profil/spieler/637658
26,/robert-leipertz/profil/spieler/119120
26,/stiven-mendoza/profil/spieler/131101
28,/arturo-mina/profil/spieler/263628
28,/andre-claro/profil/spieler/86804
22,/lucas-tousart/profil/spieler/353948
28,/josue/profil/spieler/72772
27,/alejandro-pozuelo/profil/spieler/188853
37,/sergio-floccari/profil/spieler/30638
21,/ionut-radu/profil/spieler/303657
30,/abdou-traore/profil/spieler/42941
27,/marc-andre-ter-stegen/profil/spieler/74857
22,/damian-batallini/profil/spieler/421998
25,/alireza-jahanbakhsh/profil/spieler/213268
21,/ademola-lookman/profil/spieler/406040
30,/rajko-rotman/profil/spieler/100303
23,/michael-murillo/profil/spieler/354482
28,/platiny/profil/spieler/248901
24,/kekuta-manneh/profil/spieler/253053
23,/said-benrahma/profil/spieler/290532
36,/daryl-murphy/profil/spieler/31312
24,/anwar-el-ghazi/profil/spieler/183720
24,/mickey-van-der-hart/profil/spieler/207048
24,/jordan-morris/profil/spieler/337807
25,/clinton-njie/profil/spieler/241119
22,/santi-comesana/profil/spieler/380598
29,/onur-ayik/profil/spieler/52006
27,/rodrigo-battaglia/profil/spieler/89297
24,/ih-yeong-park/profil/spieler/307397
30,/welinton/profil/spieler/95152
35,/antonio-mirante/profil/spieler/22141
25,/dominic-samuel/profil/spieler/203784
20,/dogukan-sinik/profil/spieler/370833
19,/mikhail-ignatov/profil/spieler/419672
21,/orel-mangala/profil/spieler/289592
26,/nils-butzen/profil/spieler/151105
25,/steffen-schafer/profil/spieler/119291
24,/luca-sangalli/profil/spieler/289286
31,/tommy-elphick/profil/spieler/37152
32,/salvatore-sirigu/profil/spieler/25508
27,/ander-capa/profil/spieler/197545
26,/pablo-valcarce/profil/spieler/365313
29,/georgi-zotov/profil/spieler/113235
33,/christian-fernandez/profil/spieler/48294
20,/djordje-mihailovic/profil/spieler/484756
21,/juan-foyth/profil/spieler/480763
32,/eder/profil/spieler/37418
20,/diogo-leite/profil/spieler/357156
