link,search,results
/ilzat-akhmetov/profil/spieler/334440,Ilzat+Akhmetov+CSKA+Moscow,26300
/lucas-digne/profil/spieler/126664,Lucas+Digne+Everton,686000
/ravanelli/profil/spieler/390370,Ravanelli+FK+Akhmat,14400
/lionel-messi/profil/spieler/28003,Lionel+Messi+Barcelona,76800000
/raul-albiol/profil/spieler/15452,Raúl+Albiol+Napoli,341000
/rodrigo-brana/profil/spieler/56001,Rodrigo+Braña+Estudiantes,170000
/josh-sargent/profil/spieler/393325,Joshua+Sargent+Werder+Bremen,142000
/gonzalo-castellani/profil/spieler/87840,Gonzalo+Castellani+San+Lorenzo,204000
/dominik-kohr/profil/spieler/118847,Dominik+Kohr+Bayer+Leverkusen,141000
/timur-zhamaletdinov/profil/spieler/315557,Timur+Zhamaletdinov+CSKA+Moscow,19000
/pawel-jaroszynski/profil/spieler/287600,Pawel+Jaroszynski+Chievo,51300
/rani-khedira/profil/spieler/124410,Rani+Khedira+Augsburg,106000
/lisandro-martinez/profil/spieler/480762,Lisandro+Martínez+Defensa+y+Justicia,412000
/ahmed-ildiz/profil/spieler/226169,Ahmed+Ildiz+Yeni+Malatyaspor,57300
/erick-cabaco/profil/spieler/302991,Erick+Cabaco+Levante,120000
/salih-dursun/profil/spieler/176961,Salih+Dursun+Antalyaspor,177000
/rouwen-hennings/profil/spieler/16311,Rouwen+Hennings+Fortuna+Duesseldorf,107000
/javier-manquillo/profil/spieler/162029,Javier+Manquillo+Newcastle+United,160000
/vincent-manceau/profil/spieler/83132,Vincent+Manceau+Angers,143000
/adis-jahovic/profil/spieler/98536,Adis+Jahovic+Konyaspor,113000
/tom-carroll/profil/spieler/121279,Tom+Carroll+Swansea,770000
/jonathan-biabiany/profil/spieler/45567,Jonathan+Biabiany+Parma+Calcio+1913,47800
/nahuel-molina/profil/spieler/424042,Nahuel+Molina+Rosario+Central,417000
/jonas-martin/profil/spieler/127142,Jonas+Martin+Strasbourg,1550000
/marlon-ritter/profil/spieler/151636,Marlon+Ritter+Paderborn,78100
/ayoub-el-kaabi/profil/spieler/521127,Ayoub+El+Kaabi+Hebei+CFFC,26700
/adam-smith/profil/spieler/61841,Adam+Smith+Bournemouth,2840000
/chris-lowe/profil/spieler/55125,Chris+Löwe+Huddersfield,75400
/sem-steijn/profil/spieler/593519,Sem+Steijn+VVV-Venlo,27000
/alex-telles/profil/spieler/255755,Alex+Telles+FC+Porto,1240000
/jorrit-hendrix/profil/spieler/205004,Jorrit+Hendrix+PSV+Eindhoven,102000
/marco-asensio/profil/spieler/296622,Marco+Asensio+Real+Madrid,0
/timo-baumgartl/profil/spieler/187491,Timo+Baumgartl+VfB+Stuttgart,121000
/javi-fuego/profil/spieler/56134,Javi+Fuego+Villarreal,303000
/joao-teixeira/profil/spieler/182710,João+Teixeira+Chaves,15400000
/facundo-piriz/profil/spieler/148607,Facundo+Píriz+Montpellier,30000
/younes-namli/profil/spieler/227039,Younes+Namli+PEC+Zwolle,67100
/arturo-calabresi/profil/spieler/240897,Arturo+Calabresi+Bologna,442000
/niklas-sule/profil/spieler/166601,Niklas+Süle+Bayern+Munich,457000
/kyle-bartley/profil/spieler/67421,Kyle+Bartley+West+Bromwich+Albion,108000
/ryan-manning/profil/spieler/262300,Ryan+Manning+Queens+Park+Rangers,2150000
/omar-browne/profil/spieler/189523,Omar+Browne+Montreal+Impact,295000
/sergey-petrov/profil/spieler/102581,Sergey+Petrov+FC+Krasnodar,73400
/ezequiel-unsain/profil/spieler/337600,Luis+Unsain+Defensa+y+Justicia,42800
/pele/profil/spieler/99189,Pelé+Nottingham+Forest,570000
/fabio-quagliarella/profil/spieler/22328,Fabio+Quagliarella+Sampdoria,886000
/mubarak-wakaso/profil/spieler/45639,Mubarak+Wakaso+Deportivo+Alaves,126000
/lionn/profil/spieler/75116,Lionn+Chaves,48000
/gaston-bojanich/profil/spieler/357337,Gastón+Bojanich+Argentinos+Juniors,54500
/rodrigo-de-paul/profil/spieler/255901,Rodrigo+de+Paul+Udinese,374000
/bruno-martins-indi/profil/spieler/112052,Bruno+Martins+Indi+Stoke,130000
/pierrick-capelle/profil/spieler/214532,Pierrick+Capelle+Angers,81200
/jonathan-osorio/profil/spieler/260807,Jonathan+Osorio+Toronto+FC,262000
/giorgi-papunashvili/profil/spieler/214259,Giorgi+Papunashvili+Real+Zaragoza,22600
/lukas-gugganig/profil/spieler/164142,Lukas+Gugganig+Greuther+Fuerth,54300
/drew-moor/profil/spieler/39503,Drew+Moor+Toronto+FC,298000
/julian-brandt/profil/spieler/187492,Julian+Brandt+Bayer+Leverkusen,801000
/denis-thomalla/profil/spieler/94030,Denis+Thomalla+FC+Heidenheim,69000
/sergio-ramos/profil/spieler/25557,Sergio+Ramos+Real+Madrid,26800000
/giorgi-aburjania/profil/spieler/186848,Giorgi+Aburjania+Lugo,24700
/nathan-byrne/profil/spieler/121276,Nathan+Byrne+Wigan,247000
/faycal-fajr/profil/spieler/174344,Faycal+Fajr+Caen,160000
/richonell-margaret/profil/spieler/465326,Richonell+Margaret+Vitesse,17300
/guilherme-oliveira/profil/spieler/257369,Guilherme+Oliveira+Belenenses+SAD,37900
/artem-rebrov/profil/spieler/15680,Artyom+Rebrov+Spartak+Moscow,41500
/yohan-benalouane/profil/spieler/50477,Yohan+Benalouane+Nottingham+Forest,64800
/milton-alvarez/profil/spieler/526527,Milton+Álvarez+Independiente,1360000
/johan-blomberg/profil/spieler/107539,Johan+Blomberg+Colorado+Rapids,42000
/diego-valoyes/profil/spieler/413983,Diego+Valoyes+Talleres,30300
/milan-lukac/profil/spieler/47024,Milan+Lukac+Akhisarspor,31700
/sven-michel/profil/spieler/186988,Sven+Michel+Paderborn,352000
/jannik-dehm/profil/spieler/211671,Jannik+Dehm+Holstein+Kiel,32600
/james-milner/profil/spieler/3333,James+Milner+Liverpool,6920000
/miguel-veloso/profil/spieler/43848,Miguel+Veloso+Genoa,173000
/cristian-ansaldi/profil/spieler/55854,Cristian+Ansaldi+Torino,207000
/fabian-henriquez/profil/spieler/400611,Fabián+Henríquez+Godoy+Cruz,606000
/ruben-duarte/profil/spieler/177046,Rubén+Duarte+Deportivo+Alaves,0
/nildo-petrolina/profil/spieler/158427,Nildo+Petrolina+Aves,37000
/emiliano-velazquez/profil/spieler/189458,Emiliano+Velázquez+Rayo+Vallecano,93700
/chris-basham/profil/spieler/52495,Chris+Basham+Sheffield+United,103000
/maciej-wilusz/profil/spieler/42109,Maciej+Wilusz+FC+Rostov,22900
/gerard-moreno/profil/spieler/177467,Gerard+Moreno+Villarreal,1790000
/ciro-rius/profil/spieler/101875,Ciro+Rius+Defensa+y+Justicia,146000
/nikolay-markov/profil/spieler/89088,Nikolai+Markov+FC+Krasnodar,41700
/zelimkhan-bakaev/profil/spieler/279242,Zelimkhan+Bakaev+Arsenal+Tula,17500
/maxime-le-marchand/profil/spieler/60558,Maxime+Le+Marchand+Fulham,120000
/john-guidetti/profil/spieler/98596,John+Guidetti+Deportivo+Alaves,155000
/antonis-aidonis/profil/spieler/405674,Antonis+Aidonis+VfB+Stuttgart,125000
/assil-jaziri/profil/spieler/633398,Assil+Jaziri+Nice,13400
/guilherme/profil/spieler/55369,Guilherme+Lokomotiv+Moscow,101000
/alfredo-morales/profil/spieler/58500,Alfredo+Morales+Fortuna+Duesseldorf,325000
/claudio-falcao/profil/spieler/437566,Falcão+Aves,2240000
/accioly/profil/spieler/56054,Accioly+Santa+Clara,277000
/carlos-soler/profil/spieler/372246,Carlos+Soler+Valencia,8640000
/dani-schahin/profil/spieler/58437,Dani+Schahin+Extremadura,10800
/miguel-linares/profil/spieler/95504,Miguel+Linares+Real+Zaragoza,3760000
/danil-lipovoy/profil/spieler/462988,Danil+Lipovoy+Dinamo+Moscow,16400
/shawn-parker/profil/spieler/89659,Shawn+Parker+Greuther+Fuerth,61700
/alvaro-vadillo/profil/spieler/162074,Álvaro+Vadillo+Granada,382000
/stefan-johansen/profil/spieler/62008,Stefan+Johansen+West+Bromwich+Albion,140000
/iker-muniain/profil/spieler/54235,Iker+Muniain+Athletic+Bilbao,272000
/daniel-heuer-fernandes/profil/spieler/84993,Daniel+Heuer+Fernandes+Darmstadt,111000
/jason-puncheon/profil/spieler/47995,Jason+Puncheon+Huddersfield,83000
/cian-harries/profil/spieler/319300,Cian+Harries+Swansea,26400
/oliver-skipp/profil/spieler/406638,Oliver+Skipp+Tottenham,103000
/kylian-mbappe/profil/spieler/342229,Kylian+Mbappé+Paris+Saint-Germain,7560000
/edimilson-fernandes/profil/spieler/247555,Edimilson+Fernandes+Fiorentina,168000
/kortney-hause/profil/spieler/233124,Kortney+Hause+Aston+Villa,113000
/minhoca/profil/spieler/194177,Minhoca+Santa+Clara,107000
/gersom-klok/profil/spieler/56325,Gersom+Klok+FC+Emmen,26800
/georgios-tzavellas/profil/spieler/42942,Georgios+Tzavellas+Alanyaspor,32500
/david-costas/profil/spieler/276111,David+Costas+Celta+Vigo,413000
/marcus-epps/profil/spieler/482646,Marcus+Epps+New+York+Red+Bulls,969000
/odil-akhmedov/profil/spieler/63606,Odil+Akhmedov+Shanghai+SIPG+FC,34600
/javier-gandolfi/profil/spieler/26242,Javier+Gandolfi+Talleres,82700
/daniel-salloi/profil/spieler/321946,Dániel+Sallói+Sporting+Kansas+City,62200
/chey-dunkley/profil/spieler/217094,Cheyenne+Dunkley+Wigan,18400
/martin-hinteregger/profil/spieler/85789,Martin+Hinteregger+Eintracht+Frankfurt,225000
/erik-holt/profil/spieler/510344,Erik+Holt+Real+Salt+Lake,923000
/tim-knipping/profil/spieler/185520,Tim+Knipping+Sandhausen,37100
/ryad-boudebouz/profil/spieler/77826,Ryad+Boudebouz+Celta+Vigo,156000
/marek-hamsik/profil/spieler/38593,Marek+Hamsik+Dalian+Yifang,97000
/luquinhas/profil/spieler/402825,Luquinhas+Aves,30800
/branislav-ivanovic/profil/spieler/36827,Branislav+Ivanovic+Zenit+St.+Petersburg,96500
/florian-kruger/profil/spieler/317740,Florian+Krüger+Erzgebirge+Aue,60500
/cameron-carter-vickers/profil/spieler/341049,Cameron+Carter-Vickers+Swansea,183000
/lewis-walker/profil/spieler/430801,Lewis+Walker+Queens+Park+Rangers,1780000
/rui-patricio/profil/spieler/45026,Rui+Patrício+Wolverhampton+Wanderers,174000
/magomed-elmurzaev/profil/spieler/450282,Magomed+Elmurzaev+Anzhi+Makhachkala,18300
/ivan-arboleda/profil/spieler/260740,Mauricio+Arboleda+Banfield,51800
/alvaro-raton/profil/spieler/248551,Álvaro+Ratón+Real+Zaragoza,732000
