link,nationality,minutes,type_agent,pond_min
/jonathan-de-guzman/profil/spieler/31067,Netherlands,801,Medium,50.0625
/dario-benedetto/profil/spieler/92693,Argentina,257,Small,23.363636363636363
/marcelo-goiano/profil/spieler/248903,Brazil,0,Medium,0.0
/sergio-gil/profil/spieler/255994,Spain,0,Medium,0.0
/ramon-abila/profil/spieler/88049,Argentina,0,Relatives,0.0
/yohan-croizet/profil/spieler/195910,France,0,Small,0.0
/calogero-rizzuto/profil/spieler/93753,Germany,0,Small,0.0
/aleksandr-samedov/profil/spieler/15076,Russia,3495,No agent,75.97826086956522
/darron-gibson/profil/spieler/42413,Ireland,0,No agent,0.0
/serhii-rybalka/profil/spieler/81649,Ukraine,540,Small,20.0
/martin-chrien/profil/spieler/252712,Slovakia,0,Small,0.0
/jorge-pulido/profil/spieler/67546,Spain,224,No agent,24.888888888888886
/claudio-yacob/profil/spieler/45330,Argentina,104,Small,9.454545454545455
/nicolas-aguirre/profil/spieler/88166,Argentina,0,No agent,0.0
/lautaro-gianetti/profil/spieler/225963,Argentina,90,Small,8.181818181818182
/bruno-ecuele-manga/profil/spieler/60990,Gabon,5250,Relatives,57.69230769230769
/oliver-mcburnie/profil/spieler/298477,Scotland,341,Big,8.317073170731708
/ferhat-kaplan/profil/spieler/93104,Turkey,19,Medium,0.48717948717948717
/fallou-diagne/profil/spieler/82389,Senegal,207,Big,9.0
/aissa-mandi/profil/spieler/80293,Algeria,3862,Small,54.394366197183096
/aaron-seydel/profil/spieler/187499,Germany,211,Medium,16.23076923076923
/maximiliano-gomez/profil/spieler/396894,Uruguay,160,Big,26.666666666666664
/yuri-gazinskiy/profil/spieler/159957,Russia,1199,No agent,26.065217391304348
/nicolas-benezet/profil/spieler/164230,France,0,Small,0.0
/john-goossens/profil/spieler/35527,Netherlands,259,Small,16.1875
/ruud-boffin/profil/spieler/31336,Belgium,0,Small,0.0
/tomas-hubocan/profil/spieler/63252,Slovakia,4939,Medium,154.34375
/nick-kuipers/profil/spieler/159032,Netherlands,0,Small,0.0
/papiss-demba-cisse/profil/spieler/33952,Senegal,2327,No agent,101.17391304347825
/ben-amos/profil/spieler/73472,England,225,Medium,56.25
/nikola-maras/profil/spieler/258475,Serbia,180,Medium,6.206896551724138
/yann-aurel-bisseck/profil/spieler/441986,Germany,585,Big,45.0
/yeray-alvarez/profil/spieler/255488,Spain,0,No agent,0.0
/ivan-gomez/profil/spieler/459318,Argentina,0,Small,0.0
/iker-casillas/profil/spieler/3979,Spain,13444,Small,1493.7777777777776
/maximilian-jansen/profil/spieler/149209,Germany,0,Small,0.0
/dominik-baumgartner/profil/spieler/206906,Austria,0,Small,0.0
/niki-jackson/profil/spieler/544390,United States,0,No agent,0.0
/mathias-suarez/profil/spieler/294895,Uruguay,191,No agent,31.833333333333332
/nikola-stojiljkovic/profil/spieler/113504,Serbia,147,No agent,5.068965517241379
/jordan-teze/profil/spieler/364245,Netherlands,90,No agent,5.625
/nikola-vukcevic/profil/spieler/151470,Montenegro,2718,Big,51.283018867924525
/asier-illarramendi/profil/spieler/59344,Spain,224,Medium,24.888888888888886
/claudio-marchisio/profil/spieler/44716,Italy,3976,Relatives,233.88235294117646
/iddrisu-baba/profil/spieler/442805,Ghana,0,Small,0.0
/kristoffer-olsson/profil/spieler/193592,Sweden,547,Small,39.07142857142857
/ilzat-akhmetov/profil/spieler/334440,Russia,162,Small,3.5217391304347827
/lucas-digne/profil/spieler/126664,France,1429,Small,714.5
/ravanelli/profil/spieler/390370,Brazil,0,Small,0.0
/lionel-messi/profil/spieler/28003,Argentina,10583,Relatives,962.0909090909091
/raul-albiol/profil/spieler/15452,Spain,4232,Small,470.2222222222222
/rodrigo-brana/profil/spieler/56001,Argentina,481,No agent,43.72727272727273
/josh-sargent/profil/spieler/393325,United States,236,Medium,9.833333333333332
/gonzalo-castellani/profil/spieler/87840,Argentina,0,Small,0.0
/dominik-kohr/profil/spieler/118847,Germany,75,Medium,5.769230769230769
/timur-zhamaletdinov/profil/spieler/315557,Russia,0,Medium,0.0
/pawel-jaroszynski/profil/spieler/287600,Poland,0,Small,0.0
