player,lastname,team,team_clas,league,team_country,player_link_tm,player_link_ws,team_ws_link,team_tm_link
Havard Nielsen,Nielsen,Duisburg,Above 200,Bundesliga 2 (GER),GER,/havard-nielsen/profil/spieler/136181,/Players/81233/Show/Havard-Nielsen,/Teams/35/Show/Germany-Duisburg,/msv-duisburg/startseite/verein/52
Lukas Fröde,Fröde,Duisburg,Above 200,Bundesliga 2 (GER),GER,/lukas-frode/profil/spieler/153628,/Players/263006/Show/Lukas-Fröde,/Teams/35/Show/Germany-Duisburg,/msv-duisburg/startseite/verein/52
Iván Marcone,Marcone,Boca Juniors,Top 10,Primera División (ARG),ARG,/ivan-marcone/profil/spieler/90451,/Players/125246/Show/Iván-Marcone,/Teams/889/Show/Argentina-Boca-Juniors,/club-atletico-boca-juniors/startseite/verein/189
Darío Benedetto,Benedetto,Boca Juniors,Top 10,Primera División (ARG),ARG,/dario-benedetto/profil/spieler/92693,/Players/125262/Show/Darío-Benedetto,/Teams/889/Show/Argentina-Boca-Juniors,/club-atletico-boca-juniors/startseite/verein/189
Ramón Ábila,Ábila,Boca Juniors,Top 10,Primera División (ARG),ARG,/ramon-abila/profil/spieler/88049,/Players/246390/Show/Ramón-Ábila,/Teams/889/Show/Argentina-Boca-Juniors,/club-atletico-boca-juniors/startseite/verein/189
Cristian Pavón,Pavón,Boca Juniors,Top 10,Primera División (ARG),ARG,/cristian-pavon/profil/spieler/373170,/Players/236295/Show/Cristian-Pavón,/Teams/889/Show/Argentina-Boca-Juniors,/club-atletico-boca-juniors/startseite/verein/189
Esteban Andrada,Andrada,Boca Juniors,Top 10,Primera División (ARG),ARG,/esteban-andrada/profil/spieler/105888,/Players/125635/Show/Esteban-Andrada,/Teams/889/Show/Argentina-Boca-Juniors,/club-atletico-boca-juniors/startseite/verein/189
Nahitan Nández,Nández,Boca Juniors,Top 10,Primera División (ARG),ARG,/nahitan-nandez/profil/spieler/315063,/Players/280928/Show/Nahitan-Nández,/Teams/889/Show/Argentina-Boca-Juniors,/club-atletico-boca-juniors/startseite/verein/189
Paolo Goltz,Goltz,Boca Juniors,Top 10,Primera División (ARG),ARG,/paolo-goltz/profil/spieler/55183,/Players/125624/Show/Paolo-Goltz,/Teams/889/Show/Argentina-Boca-Juniors,/club-atletico-boca-juniors/startseite/verein/189
Sebastián Villa,Villa,Boca Juniors,Top 10,Primera División (ARG),ARG,/sebastian-villa/profil/spieler/493000,/Players/361895/Show/Sebastián-Villa,/Teams/889/Show/Argentina-Boca-Juniors,/club-atletico-boca-juniors/startseite/verein/189
Emmanuel Más,Más,Boca Juniors,Top 10,Primera División (ARG),ARG,/emmanuel-mas/profil/spieler/77153,/Players/125429/Show/Emmanuel-Más,/Teams/889/Show/Argentina-Boca-Juniors,/club-atletico-boca-juniors/startseite/verein/189
Kevin Mac Allister,Allister,Boca Juniors,Top 10,Primera División (ARG),ARG,/kevin-mac-allister/profil/spieler/428920,/Players/312686/Show/Kevin-Mac-Allister,/Teams/889/Show/Argentina-Boca-Juniors,/club-atletico-boca-juniors/startseite/verein/189
Florent Mollet,Mollet,Montpellier,Above 200,Ligue 1 (FRA),FRA,/florent-mollet/profil/spieler/222859,/Players/114169/Show/Florent-Mollet,/Teams/311/Show/France-Montpellier,/hsc-montpellier/startseite/verein/969
Mathías Suárez,Suárez,Montpellier,Above 200,Ligue 1 (FRA),FRA,/mathias-suarez/profil/spieler/294895,/Players/369413/Show/Mathías-Suárez,/Teams/311/Show/France-Montpellier,/hsc-montpellier/startseite/verein/969
Facundo Píriz,Píriz,Montpellier,Above 200,Ligue 1 (FRA),FRA,/facundo-piriz/profil/spieler/148607,/Players/87278/Show/Facundo-Píriz,/Teams/311/Show/France-Montpellier,/hsc-montpellier/startseite/verein/969
Keagan Dolly,Dolly,Montpellier,Above 200,Ligue 1 (FRA),FRA,/keagan-dolly/profil/spieler/234006,/Players/125457/Show/Keagan-Dolly,/Teams/311/Show/France-Montpellier,/hsc-montpellier/startseite/verein/969
Yannis Ammour,Ammour,Montpellier,Above 200,Ligue 1 (FRA),FRA,/yannis-ammour/profil/spieler/420782,/Players/353376/Show/Yannis-Ammour,/Teams/311/Show/France-Montpellier,/hsc-montpellier/startseite/verein/969
Ruben Aguilar,Aguilar,Montpellier,Above 200,Ligue 1 (FRA),FRA,/ruben-aguilar/profil/spieler/203746,/Players/236546/Show/Ruben-Aguilar,/Teams/311/Show/France-Montpellier,/hsc-montpellier/startseite/verein/969
Junior Sambia,Sambia,Montpellier,Above 200,Ligue 1 (FRA),FRA,/junior-sambia/profil/spieler/335147,/Players/243069/Show/Junior-Sambia,/Teams/311/Show/France-Montpellier,/hsc-montpellier/startseite/verein/969
Juanpe,Juanpe,Girona,Top 150,La Liga (SPA),SPA,/juanpe/profil/spieler/115333,/Players/140803/Show/Juanpe,/Teams/2783/Show/Spain-Girona,/fc-girona/startseite/verein/12321
Douglas Luiz,Luiz,Girona,Top 150,La Liga (SPA),SPA,/douglas-luiz/profil/spieler/447661,/Players/337883/Show/Douglas-Luiz,/Teams/2783/Show/Spain-Girona,/fc-girona/startseite/verein/12321
Marc Muniesa,Muniesa,Girona,Top 150,La Liga (SPA),SPA,/marc-muniesa/profil/spieler/74228,/Players/75177/Show/Marc-Muniesa,/Teams/2783/Show/Spain-Girona,/fc-girona/startseite/verein/12321
Alban Lafont,Lafont,Fiorentina,Top 150,Serie A (ITA),ITA,/alban-lafont/profil/spieler/357117,/Players/300590/Show/Alban-Lafont,/Teams/73/Show/Italy-Fiorentina,/ac-florenz/startseite/verein/430
Edimilson Fernandes,Fernandes,Fiorentina,Top 150,Serie A (ITA),ITA,/edimilson-fernandes/profil/spieler/247555,/Players/130964/Show/Edimilson-Fernandes,/Teams/73/Show/Italy-Fiorentina,/ac-florenz/startseite/verein/430
Vincent Laurini,Laurini,Fiorentina,Top 150,Serie A (ITA),ITA,/vincent-laurini/profil/spieler/94936,/Players/109062/Show/Vincent-Laurini,/Teams/73/Show/Italy-Fiorentina,/ac-florenz/startseite/verein/430
Kevin Mirallas,Mirallas,Fiorentina,Top 150,Serie A (ITA),ITA,/kevin-mirallas/profil/spieler/33639,/Players/15834/Show/Kevin-Mirallas,/Teams/73/Show/Italy-Fiorentina,/ac-florenz/startseite/verein/430
Dusan Vlahovic,Vlahovic,Fiorentina,Top 150,Serie A (ITA),ITA,/dusan-vlahovic/profil/spieler/357498,/Players/315369/Show/Dusan-Vlahovic,/Teams/73/Show/Italy-Fiorentina,/ac-florenz/startseite/verein/430
Nicky Medja Beloko,Beloko,Fiorentina,Top 150,Serie A (ITA),ITA,/nicky-beloko/profil/spieler/382774,/Players/373081/Show/Nicky-Medja-Beloko,/Teams/73/Show/Italy-Fiorentina,/ac-florenz/startseite/verein/430
Bruno Viana,Viana,Braga,Above 200,Liga NOS (POR),POR,/bruno-viana/profil/spieler/411838,/Players/289112/Show/Bruno-Viana,/Teams/288/Show/Portugal-Braga,/sc-braga/startseite/verein/1075
Ricardo Ryller,Ryller,Braga,Above 200,Liga NOS (POR),POR,/ricardo-ryller/profil/spieler/349443,/Players/352932/Show/Ricardo-Ryller,/Teams/288/Show/Portugal-Braga,/sc-braga/startseite/verein/1075
Marcelo Goiano,Goiano,Braga,Above 200,Liga NOS (POR),POR,/marcelo-goiano/profil/spieler/248903,/Players/135523/Show/Marcelo-Goiano,/Teams/288/Show/Portugal-Braga,/sc-braga/startseite/verein/1075
Bruno Xadas,Xadas,Braga,Above 200,Liga NOS (POR),POR,/xadas/profil/spieler/345345,/Players/335707/Show/Bruno-Xadas,/Teams/288/Show/Portugal-Braga,/sc-braga/startseite/verein/1075
Claudemir,Claudemir,Braga,Above 200,Liga NOS (POR),POR,/claudemir/profil/spieler/68275,/Players/36137/Show/Claudemir,/Teams/288/Show/Portugal-Braga,/sc-braga/startseite/verein/1075
Paulinho,Paulinho,Braga,Above 200,Liga NOS (POR),POR,/paulinho/profil/spieler/211072,/Players/135563/Show/Paulinho,/Teams/288/Show/Portugal-Braga,/sc-braga/startseite/verein/1075
Ricardo Esgaio,Esgaio,Braga,Above 200,Liga NOS (POR),POR,/ricardo-esgaio/profil/spieler/139395,/Players/109474/Show/Ricardo-Esgaio,/Teams/288/Show/Portugal-Braga,/sc-braga/startseite/verein/1075
João Novais,Novais,Braga,Above 200,Liga NOS (POR),POR,/joao-novais/profil/spieler/228940,/Players/322580/Show/João-Novais,/Teams/288/Show/Portugal-Braga,/sc-braga/startseite/verein/1075
João Palhinha,Palhinha,Braga,Above 200,Liga NOS (POR),POR,/joao-palhinha/profil/spieler/257455,/Players/322774/Show/João-Palhinha,/Teams/288/Show/Portugal-Braga,/sc-braga/startseite/verein/1075
Emil Audero,Audero,Sampdoria,Above 200,Serie A (ITA),ITA,/emil-audero/profil/spieler/256339,/Players/254692/Show/Emil-Audero,/Teams/271/Show/Italy-Sampdoria,/uc-sampdoria/startseite/verein/1038
Lorenzo Tonelli,Tonelli,Sampdoria,Above 200,Serie A (ITA),ITA,/lorenzo-tonelli/profil/spieler/111347,/Players/128740/Show/Lorenzo-Tonelli,/Teams/271/Show/Italy-Sampdoria,/uc-sampdoria/startseite/verein/1038
Fabio Quagliarella,Quagliarella,Sampdoria,Above 200,Serie A (ITA),ITA,/fabio-quagliarella/profil/spieler/22328,/Players/9730/Show/Fabio-Quagliarella,/Teams/271/Show/Italy-Sampdoria,/uc-sampdoria/startseite/verein/1038
Alex Ferrari,Ferrari,Sampdoria,Above 200,Serie A (ITA),ITA,/alex-ferrari/profil/spieler/197491,/Players/130043/Show/Alex-Ferrari,/Teams/271/Show/Italy-Sampdoria,/uc-sampdoria/startseite/verein/1038
Dennis Praet,Praet,Sampdoria,Above 200,Serie A (ITA),ITA,/dennis-praet/profil/spieler/129588,/Players/106413/Show/Dennis-Praet,/Teams/271/Show/Italy-Sampdoria,/uc-sampdoria/startseite/verein/1038
Ronaldo Vieira,Vieira,Sampdoria,Above 200,Serie A (ITA),ITA,/ronaldo-vieira/profil/spieler/434676,/Players/317179/Show/Ronaldo-Vieira,/Teams/271/Show/Italy-Sampdoria,/uc-sampdoria/startseite/verein/1038
Christian Gentner,Gentner,VfB Stuttgart,Above 200,Bundesliga (GER),GER,/christian-gentner/profil/spieler/19112,/Players/11269/Show/Christian-Gentner,/Teams/41/Show/Germany-VfB-Stuttgart,/vfb-stuttgart/startseite/verein/79
Ozan Kabak,Kabak,VfB Stuttgart,Above 200,Bundesliga (GER),GER,/ozan-kabak/profil/spieler/361260,/Players/356743/Show/Ozan-Kabak,/Teams/41/Show/Germany-VfB-Stuttgart,/vfb-stuttgart/startseite/verein/79
Timo Baumgartl,Baumgartl,VfB Stuttgart,Above 200,Bundesliga (GER),GER,/timo-baumgartl/profil/spieler/187491,/Players/141328/Show/Timo-Baumgartl,/Teams/41/Show/Germany-VfB-Stuttgart,/vfb-stuttgart/startseite/verein/79
Antonis Aidonis,Aidonis,VfB Stuttgart,Above 200,Bundesliga (GER),GER,/antonis-aidonis/profil/spieler/405674,/Players/366012/Show/Antonis-Aidonis,/Teams/41/Show/Germany-VfB-Stuttgart,/vfb-stuttgart/startseite/verein/79
Daniel Didavi,Didavi,VfB Stuttgart,Above 200,Bundesliga (GER),GER,/daniel-didavi/profil/spieler/57995,/Players/44142/Show/Daniel-Didavi,/Teams/41/Show/Germany-VfB-Stuttgart,/vfb-stuttgart/startseite/verein/79
Emiliano Insúa,Insúa,VfB Stuttgart,Above 200,Bundesliga (GER),GER,/emiliano-insua/profil/spieler/45599,/Players/26817/Show/Emiliano-Insúa,/Teams/41/Show/Germany-VfB-Stuttgart,/vfb-stuttgart/startseite/verein/79
Benjamin Pavard,Pavard,VfB Stuttgart,Above 200,Bundesliga (GER),GER,/benjamin-pavard/profil/spieler/353366,/Players/259648/Show/Benjamin-Pavard,/Teams/41/Show/Germany-VfB-Stuttgart,/vfb-stuttgart/startseite/verein/79
Chadrac Akolo,Akolo,VfB Stuttgart,Above 200,Bundesliga (GER),GER,/chadrac-akolo/profil/spieler/247459,/Players/301022/Show/Chadrac-Akolo,/Teams/41/Show/Germany-VfB-Stuttgart,/vfb-stuttgart/startseite/verein/79
Jordan Archer,Archer,Millwall,Above 200,Championship (ENG),ENG,/jordan-archer/profil/spieler/177952,/Players/120105/Show/Jordan-Archer,/Teams/192/Show/England-Millwall,/fc-millwall/startseite/verein/1028
Jake Cooper,Cooper,Millwall,Above 200,Championship (ENG),ENG,/jake-cooper/profil/spieler/243603,/Players/235842/Show/Jake-Cooper,/Teams/192/Show/England-Millwall,/fc-millwall/startseite/verein/1028
Ben Amos,Amos,Millwall,Above 200,Championship (ENG),ENG,/ben-amos/profil/spieler/73472,/Players/68651/Show/Ben-Amos,/Teams/192/Show/England-Millwall,/fc-millwall/startseite/verein/1028
Ben Thompson,Thompson,Millwall,Above 200,Championship (ENG),ENG,/ben-thompson/profil/spieler/337062,/Players/278130/Show/Ben-Thompson,/Teams/192/Show/England-Millwall,/fc-millwall/startseite/verein/1028
Afonso Figueiredo,Figueiredo,Rio Ave,Above 200,Liga NOS (POR),POR,/afonso-figueiredo/profil/spieler/237000,/Players/330612/Show/Afonso-Figueiredo,/Teams/121/Show/Portugal-Rio-Ave,/rio-ave-fc/startseite/verein/2425
Junio,Junio,Rio Ave,Above 200,Liga NOS (POR),POR,/junio/profil/spieler/520469,/Players/337597/Show/Junio,/Teams/121/Show/Portugal-Rio-Ave,/rio-ave-fc/startseite/verein/2425
Nélson Monte,Monte,Rio Ave,Above 200,Liga NOS (POR),POR,/nelson-monte/profil/spieler/332615,/Players/323355/Show/Nélson-Monte,/Teams/121/Show/Portugal-Rio-Ave,/rio-ave-fc/startseite/verein/2425
Matheus Reis,Reis,Rio Ave,Above 200,Liga NOS (POR),POR,/matheus-reis/profil/spieler/379249,/Players/283978/Show/Matheus-Reis,/Teams/121/Show/Portugal-Rio-Ave,/rio-ave-fc/startseite/verein/2425
Everton Luiz,Luiz,Real Salt Lake,Above 200,MLS (USA),USA,/everton-luiz/profil/spieler/75076,/Players/74141/Show/Everton-Luiz,/Teams/2947/Show/USA-Real-Salt-Lake,/real-salt-lake-city/startseite/verein/6643
Erik Holt,Holt,Real Salt Lake,Above 200,MLS (USA),USA,/erik-holt/profil/spieler/510344,/Players/371974/Show/Erik-Holt,/Teams/2947/Show/USA-Real-Salt-Lake,/real-salt-lake-city/startseite/verein/6643
Tate Schmitt,Schmitt,Real Salt Lake,Above 200,MLS (USA),USA,/tate-schmitt/profil/spieler/637658,/Players/371299/Show/Tate-Schmitt,/Teams/2947/Show/USA-Real-Salt-Lake,/real-salt-lake-city/startseite/verein/6643
Albert Rusnák,Rusnák,Real Salt Lake,Above 200,MLS (USA),USA,/albert-rusnak/profil/spieler/43228,/Players/141927/Show/Albert-Rusnák,/Teams/2947/Show/USA-Real-Salt-Lake,/real-salt-lake-city/startseite/verein/6643
Nick Rimando,Rimando,Real Salt Lake,Above 200,MLS (USA),USA,/nick-rimando/profil/spieler/39434,/Players/38741/Show/Nick-Rimando,/Teams/2947/Show/USA-Real-Salt-Lake,/real-salt-lake-city/startseite/verein/6643
Sam Johnson,Johnson,Real Salt Lake,Above 200,MLS (USA),USA,/sam-johnson/profil/spieler/252062,/Players/320597/Show/Sam-Johnson,/Teams/2947/Show/USA-Real-Salt-Lake,/real-salt-lake-city/startseite/verein/6643
Justen Glad,Glad,Real Salt Lake,Above 200,MLS (USA),USA,/justen-glad/profil/spieler/334597,/Players/232235/Show/Justen-Glad,/Teams/2947/Show/USA-Real-Salt-Lake,/real-salt-lake-city/startseite/verein/6643
Trent Alexander-Arnold,Alexander-Arnold,Liverpool,Top 50,Premier League (ENG),ENG,/trent-alexander-arnold/profil/spieler/314353,/Players/318871/Show/Trent-Alexander-Arnold,/Teams/26/Show/England-Liverpool,/fc-liverpool/startseite/verein/31
Jordan Henderson,Henderson,Liverpool,Top 50,Premier League (ENG),ENG,/jordan-henderson/profil/spieler/61651,/Players/68659/Show/Jordan-Henderson,/Teams/26/Show/England-Liverpool,/fc-liverpool/startseite/verein/31
James Milner,Milner,Liverpool,Top 50,Premier League (ENG),ENG,/james-milner/profil/spieler/3333,/Players/4511/Show/James-Milner,/Teams/26/Show/England-Liverpool,/fc-liverpool/startseite/verein/31
Sadio Mané,Mané,Liverpool,Top 50,Premier League (ENG),ENG,/sadio-mane/profil/spieler/200512,/Players/109915/Show/Sadio-Mané,/Teams/26/Show/England-Liverpool,/fc-liverpool/startseite/verein/31
Joe Gomez,Gomez,Liverpool,Top 50,Premier League (ENG),ENG,/joe-gomez/profil/spieler/256178,/Players/136451/Show/Joe-Gomez,/Teams/26/Show/England-Liverpool,/fc-liverpool/startseite/verein/31
Alisson,Alisson,Liverpool,Top 50,Premier League (ENG),ENG,/alisson/profil/spieler/105470,/Players/114147/Show/Alisson,/Teams/26/Show/England-Liverpool,/fc-liverpool/startseite/verein/31
Dominique Badji,Badji,FC Dallas,Above 200,MLS (USA),USA,/dominique-badji/profil/spieler/354840,/Players/270584/Show/Dominique-Badji,/Teams/2948/Show/USA-FC-Dallas,/fc-dallas/startseite/verein/8816
Thomas Roberts,Roberts,FC Dallas,Above 200,MLS (USA),USA,/thomas-roberts/profil/spieler/513967,/Players/371543/Show/Thomas-Roberts,/Teams/2948/Show/USA-FC-Dallas,/fc-dallas/startseite/verein/8816
Brandon Servania,Servania,FC Dallas,Above 200,MLS (USA),USA,/brandon-servania/profil/spieler/455979,/Players/371296/Show/Brandon-Servania,/Teams/2948/Show/USA-FC-Dallas,/fc-dallas/startseite/verein/8816
Reto Ziegler,Ziegler,FC Dallas,Above 200,MLS (USA),USA,/reto-ziegler/profil/spieler/9915,/Players/10734/Show/Reto-Ziegler,/Teams/2948/Show/USA-FC-Dallas,/fc-dallas/startseite/verein/8816
Paxton Pomykal,Pomykal,FC Dallas,Above 200,MLS (USA),USA,/paxton-pomykal/profil/spieler/455978,/Players/328380/Show/Paxton-Pomykal,/Teams/2948/Show/USA-FC-Dallas,/fc-dallas/startseite/verein/8816
Bressan,Bressan,FC Dallas,Above 200,MLS (USA),USA,/bressan/profil/spieler/256453,/Players/125792/Show/Bressan,/Teams/2948/Show/USA-FC-Dallas,/fc-dallas/startseite/verein/8816
Michael Barrios,Barrios,FC Dallas,Above 200,MLS (USA),USA,/michael-barrios/profil/spieler/313286,/Players/270780/Show/Michael-Barrios,/Teams/2948/Show/USA-FC-Dallas,/fc-dallas/startseite/verein/8816
Santiago Mosquera,Mosquera,FC Dallas,Above 200,MLS (USA),USA,/santiago-mosquera/profil/spieler/490621,/Players/354035/Show/Santiago-Mosquera,/Teams/2948/Show/USA-FC-Dallas,/fc-dallas/startseite/verein/8816
Jimmy Maurer,Maurer,FC Dallas,Above 200,MLS (USA),USA,/jimmy-maurer/profil/spieler/183337,/Players/341682/Show/Jimmy-Maurer,/Teams/2948/Show/USA-FC-Dallas,/fc-dallas/startseite/verein/8816
Shkodran Mustafi,Mustafi,Arsenal,Top 50,Premier League (ENG),ENG,/shkodran-mustafi/profil/spieler/88590,/Players/80921/Show/Shkodran-Mustafi,/Teams/13/Show/England-Arsenal,/fc-arsenal/startseite/verein/11
Pierre-Emerick Aubameyang,Aubameyang,Arsenal,Top 50,Premier League (ENG),ENG,/pierre-emerick-aubameyang/profil/spieler/58864,/Players/44120/Show/Pierre-Emerick-Aubameyang,/Teams/13/Show/England-Arsenal,/fc-arsenal/startseite/verein/11
Mohamed Elneny,Elneny,Arsenal,Top 50,Premier League (ENG),ENG,/mohamed-elneny/profil/spieler/160438,/Players/125209/Show/Mohamed-Elneny,/Teams/13/Show/England-Arsenal,/fc-arsenal/startseite/verein/11
Nacho Monreal,Monreal,Arsenal,Top 50,Premier League (ENG),ENG,/nacho-monreal/profil/spieler/43003,/Players/23072/Show/Nacho-Monreal,/Teams/13/Show/England-Arsenal,/fc-arsenal/startseite/verein/11
Granit Xhaka,Xhaka,Arsenal,Top 50,Premier League (ENG),ENG,/granit-xhaka/profil/spieler/111455,/Players/89401/Show/Granit-Xhaka,/Teams/13/Show/England-Arsenal,/fc-arsenal/startseite/verein/11
Konstantinos Mavropanos,Mavropanos,Arsenal,Top 50,Premier League (ENG),ENG,/konstantinos-mavropanos/profil/spieler/415912,/Players/351127/Show/Konstantinos-Mavropanos,/Teams/13/Show/England-Arsenal,/fc-arsenal/startseite/verein/11
Héctor Bellerín,Bellerín,Arsenal,Top 50,Premier League (ENG),ENG,/hector-bellerin/profil/spieler/191217,/Players/125211/Show/Héctor-Bellerín,/Teams/13/Show/England-Arsenal,/fc-arsenal/startseite/verein/11
Sokratis,Sokratis,Arsenal,Top 50,Premier League (ENG),ENG,/sokratis/profil/spieler/34322,/Players/22210/Show/Sokratis,/Teams/13/Show/England-Arsenal,/fc-arsenal/startseite/verein/11
Lazar Rosic,Rosic,Nacional,Above 200,Liga NOS (POR),POR,/lazar-rosic/profil/spieler/198053,/Players/322792/Show/Lazar-Rosic,/Teams/936/Show/Portugal-Nacional,/cd-nacional/startseite/verein/982
Kalindi,Kalindi,Nacional,Above 200,Liga NOS (POR),POR,/kalindi/profil/spieler/379377,/Players/361987/Show/Kalindi,/Teams/936/Show/Portugal-Nacional,/cd-nacional/startseite/verein/982
Mauro Cerqueira,Cerqueira,Nacional,Above 200,Liga NOS (POR),POR,/mauro-cerqueira/profil/spieler/352847,/Players/296124/Show/Mauro-Cerqueira,/Teams/936/Show/Portugal-Nacional,/cd-nacional/startseite/verein/982
Sérgio Marakis,Marakis,Nacional,Above 200,Liga NOS (POR),POR,/marakis/profil/spieler/188669,/Players/96270/Show/Sérgio-Marakis,/Teams/936/Show/Portugal-Nacional,/cd-nacional/startseite/verein/982
Vítor Gonçalves,Gonçalves,Nacional,Above 200,Liga NOS (POR),POR,/vitor-goncalves/profil/spieler/194547,/Players/135566/Show/Vítor-Gonçalves,/Teams/936/Show/Portugal-Nacional,/cd-nacional/startseite/verein/982
João Camacho,Camacho,Nacional,Above 200,Liga NOS (POR),POR,/joao-camacho/profil/spieler/268732,/Players/128041/Show/João-Camacho,/Teams/936/Show/Portugal-Nacional,/cd-nacional/startseite/verein/982
Matheus Cunha,Cunha,RasenBallsport Leipzig,Top 50,Bundesliga (GER),GER,/matheus-cunha/profil/spieler/517894,/Players/362758/Show/Matheus-Cunha,/Teams/7614/Show/Germany-RasenBallsport-Leipzig,/rasenballsport-leipzig/startseite/verein/23826
Kevin Kampl,Kampl,RasenBallsport Leipzig,Top 50,Bundesliga (GER),GER,/kevin-kampl/profil/spieler/53418,/Players/80994/Show/Kevin-Kampl,/Teams/7614/Show/Germany-RasenBallsport-Leipzig,/rasenballsport-leipzig/startseite/verein/23826
Timo Werner,Werner,RasenBallsport Leipzig,Top 50,Bundesliga (GER),GER,/timo-werner/profil/spieler/170527,/Players/130903/Show/Timo-Werner,/Teams/7614/Show/Germany-RasenBallsport-Leipzig,/rasenballsport-leipzig/startseite/verein/23826
Yussuf Poulsen,Poulsen,RasenBallsport Leipzig,Top 50,Bundesliga (GER),GER,/yussuf-poulsen/profil/spieler/157635,/Players/132943/Show/Yussuf-Poulsen,/Teams/7614/Show/Germany-RasenBallsport-Leipzig,/rasenballsport-leipzig/startseite/verein/23826
Jean-Kévin Augustin,Augustin,RasenBallsport Leipzig,Top 50,Bundesliga (GER),GER,/jean-kevin-augustin/profil/spieler/264956,/Players/245643/Show/Jean-Kévin-Augustin,/Teams/7614/Show/Germany-RasenBallsport-Leipzig,/rasenballsport-leipzig/startseite/verein/23826
Tyler Adams,Adams,RasenBallsport Leipzig,Top 50,Bundesliga (GER),GER,/tyler-adams/profil/spieler/332705,/Players/315275/Show/Tyler-Adams,/Teams/7614/Show/Germany-RasenBallsport-Leipzig,/rasenballsport-leipzig/startseite/verein/23826
