name,position,height,weight,team,pos_def,pref_side,sides
Yann Bisseck,Defender,194.0,83.0,Holstein Kiel,Defender,None,1
Yeray Álvarez,Defender (Centre),182.0,78.0,Athletic Bilbao,Defender,Centre,1
Iván Gómez,Defensive Midfielder (C),165.0,63.0,Estudiantes,Defensive Midfielder,None,1
Iker Casillas,Goalkeeper,185.0,84.0,FC Porto,Goalkeeper,None,1
Maximilian Jansen,Defensive Midfielder (C),179.0,74.0,Sandhausen,Defensive Midfielder,None,1
Dominik Baumgartner,Defender,187.0,72.0,Bochum,Defender,None,1
Niki Jackson,Forward,185.0,79.0,Colorado Rapids,Forward,None,1
Mathías Suárez,Midfielder (Right),182.0,80.0,Montpellier,Midfielder,Right,1
Nikola Stojiljkovic,Forward,182.0,79.0,Mallorca,Forward,None,1
Jordan Teze,Defender,171.0,68.0,PSV Eindhoven,Defender,None,1
Nikola Vukcevic,Defensive Midfielder (C),184.0,76.0,Levante,Defensive Midfielder,None,1
Asier Illarramendi,Midfielder (Centre),179.0,75.0,Real Sociedad,Midfielder,Centre,1
Claudio Marchisio,Midfielder (Centre),180.0,74.0,Zenit St. Petersburg,Midfielder,Centre,1
Idrissu Baba,Midfielder,176.82833333333335,72.9825,Mallorca,Midfielder,None,1
Kristoffer Olsson,Midfielder (Centre),181.0,69.0,FC Krasnodar,Midfielder,Centre,1
Ilzat Akhmetov,"Midfielder (Centre, Right)",172.0,65.0,CSKA Moscow,Midfielder,Centre,2
Lucas Digne,Defender (Left),178.0,74.0,Everton,Defender,Left,1
Ravanelli,"Attacking Midfielder (Centre, Right)",180.0,76.0,FK Akhmat,Midfielder,Centre,2
Lionel Messi,"Attacking Midfielder (Centre, Right)",170.0,72.0,Barcelona,Midfielder,Centre,2
Raúl Albiol,Defender (Centre),190.0,82.0,Napoli,Defender,Centre,1
Rodrigo Braña,Defensive Midfielder (C),167.0,69.0,Estudiantes,Defensive Midfielder,None,1
Joshua Sargent,Forward,185.0,79.0,Werder Bremen,Forward,None,1
Gonzalo Castellani,Attacking Midfielder (Centre),183.0,75.0,San Lorenzo,Midfielder,Centre,1
Dominik Kohr,Defensive Midfielder (C),185.0,81.0,Bayer Leverkusen,Defensive Midfielder,None,1
Timur Zhamaletdinov,Forward,181.0,73.0,CSKA Moscow,Forward,None,1
Pawel Jaroszynski,Defender (Left),184.0,77.0,Chievo,Defender,Left,1
Rani Khedira,Defender (Centre),188.0,84.0,Augsburg,Defender,Centre,1
Lisandro Martínez,"Defender (Centre, Left)",178.0,77.0,Defensa y Justicia,Defender,Centre,2
Ahmed Ildiz,Midfielder (Centre),181.0,72.9825,Yeni Malatyaspor,Midfielder,Centre,1
Erick Cabaco,Defender (Centre),185.0,84.0,Levante,Defender,Centre,1
Salih Dursun,"Defender (Centre, Right)",188.0,79.0,Antalyaspor,Defender,Centre,2
Rouwen Hennings,Forward,180.0,80.0,Fortuna Duesseldorf,Forward,None,1
Javier Manquillo,"Defender (Left, Right)",178.0,76.0,Newcastle United,Defender,Left,2
Vincent Manceau,"Defender (Left, Right)",176.0,70.0,Angers,Defender,Left,2
Adis Jahovic,Forward,190.0,90.0,Konyaspor,Forward,None,1
Tom Carroll,"Midfielder (Centre, Left)",177.0,71.0,Swansea,Midfielder,Centre,2
Jonathan Biabiany,"Midfielder (Left, Right)",177.0,73.0,Parma Calcio 1913,Midfielder,Left,2
Nahuel Molina,Defender (Right),175.0,70.0,Rosario Central,Defender,Right,1
Jonas Martin,"Midfielder (Centre, Left)",184.0,77.0,Strasbourg,Midfielder,Centre,2
Marlon Ritter,Midfielder,173.0,72.0,Paderborn,Midfielder,None,1
Ayoub El Kaabi,Forward,182.0,73.0,Hebei CFFC,Forward,None,1
Adam Smith,"Defender (Left, Right)",180.0,78.0,Bournemouth,Defender,Left,2
Chris Löwe,Defender (Left),175.0,68.0,Huddersfield,Defender,Left,1
Sem Steijn,Midfielder,173.0,61.0,VVV-Venlo,Midfielder,None,1
Alex Telles,Defender (Left),181.0,71.0,FC Porto,Defender,Left,1
Jorrit Hendrix,Defender (Centre),181.0,75.0,PSV Eindhoven,Defender,Centre,1
Marco Asensio,"Attacking Midfielder (Centre, Left, Right)",182.0,76.0,Real Madrid,Midfielder,Centre,3
Timo Baumgartl,Defender (Centre),190.0,89.0,VfB Stuttgart,Defender,Centre,1
Javi Fuego,Midfielder (Centre),182.0,74.0,Villarreal,Midfielder,Centre,1
João Teixeira,"Attacking Midfielder (Centre, Left)",178.0,70.0,Chaves,Midfielder,Centre,2
Facundo Píriz,Defensive Midfielder (C),187.0,81.0,Montpellier,Defensive Midfielder,None,1
Younes Namli,"Attacking Midfielder (Centre, Right)",180.0,70.0,PEC Zwolle,Midfielder,Centre,2
Arturo Calabresi,"Defender (Centre, Right)",186.0,75.0,Bologna,Defender,Centre,2
Niklas Süle,Defender (Centre),195.0,97.0,Bayern Munich,Defender,Centre,1
Kyle Bartley,Defender (Centre),185.0,76.0,West Bromwich Albion,Defender,Centre,1
Ryan Manning,Defender (Left),176.82833333333335,72.9825,Queens Park Rangers,Defender,Left,1
Omar Browne,Midfielder,173.0,72.0,Montreal Impact,Midfielder,None,1
Sergey Petrov,"Defender (Left, Right)",175.0,71.0,FC Krasnodar,Defender,Left,2
Luis Unsain,Goalkeeper,188.0,83.0,Defensa y Justicia,Goalkeeper,None,1
Pelé,Defensive Midfielder (C),182.0,75.0,Nottingham Forest,Defensive Midfielder,None,1
Fabio Quagliarella,Forward,180.0,79.0,Sampdoria,Forward,None,1
Mubarak Wakaso,"Midfielder (Centre, Left, Right)",171.0,72.0,Deportivo Alaves,Midfielder,Centre,3
Lionn,Defender (Right),183.0,75.0,Chaves,Defender,Right,1
Gastón Bojanich,Defender (Centre),191.0,85.0,Argentinos Juniors,Defender,Centre,1
Rodrigo de Paul,"Attacking Midfielder (Centre, Left, Right)",180.0,70.0,Udinese,Midfielder,Centre,3
Bruno Martins Indi,"Defender (Centre, Left)",185.0,76.0,Stoke,Defender,Centre,2
Pierrick Capelle,Defender (Left),181.0,73.0,Angers,Defender,Left,1
Jonathan Osorio,"Attacking Midfielder (Centre, Left, Right)",176.0,73.0,Toronto FC,Midfielder,Centre,3
Giorgi Papunashvili,Midfielder,179.0,76.0,Real Zaragoza,Midfielder,None,1
Drew Moor,"Defender (Centre, Left, Right)",183.0,75.0,Toronto FC,Defender,Centre,3
Julian Brandt,"Midfielder (Centre, Left, Right)",186.0,84.0,Bayer Leverkusen,Midfielder,Centre,3
Denis Thomalla,"Attacking Midfielder (Centre, Left)",186.0,75.0,FC Heidenheim,Midfielder,Centre,2
Sergio Ramos,"Defender (Centre, Right)",184.0,82.0,Real Madrid,Defender,Centre,2
Giorgi Aburjania,Midfielder,186.0,75.0,Lugo,Midfielder,None,1
Nathan Byrne,Defender (Right),180.0,84.0,Wigan,Defender,Right,1
Faycal Fajr,"Midfielder (Centre, Left, Right)",178.0,72.0,Caen,Midfielder,Centre,3
Richonell Margaret,Midfielder,176.82833333333335,72.9825,Vitesse,Midfielder,None,1
Guilherme Oliveira,Goalkeeper,190.0,83.0,Belenenses SAD,Goalkeeper,None,1
Artyom Rebrov,Goalkeeper,193.0,92.0,Spartak Moscow,Goalkeeper,None,1
Yohan Benalouane,"Defender (Centre, Right)",185.0,86.0,Nottingham Forest,Defender,Centre,2
Milton Álvarez,Goalkeeper,185.0,84.0,Independiente,Goalkeeper,None,1
Johan Blomberg,Defensive Midfielder (C),177.0,65.0,Colorado Rapids,Defensive Midfielder,None,1
Diego Valoyes,Forward,182.0,76.0,Talleres,Forward,None,1
Milan Lukac,Goalkeeper,197.0,88.0,Akhisarspor,Goalkeeper,None,1
Sven Michel,Forward,179.0,79.0,Paderborn,Forward,None,1
Jannik Dehm,Defender (Right),181.0,72.0,Holstein Kiel,Defender,Right,1
James Milner,"Defender (Left, Right)",175.0,70.0,Liverpool,Defender,Left,2
Miguel Veloso,Midfielder (Centre),180.0,79.0,Genoa,Midfielder,Centre,1
Cristian Ansaldi,"Defender (Centre, Left, Right)",181.0,76.0,Torino,Defender,Centre,3
Fabián Henríquez,Defensive Midfielder (C),172.0,68.0,Godoy Cruz,Defensive Midfielder,None,1
Rubén Duarte,Defender (Left),180.0,75.0,Deportivo Alaves,Defender,Left,1
Nildo Petrolina,Defender (Left),175.0,65.0,Aves,Defender,Left,1
Emiliano Velázquez,Defender (Centre),184.0,79.0,Rayo Vallecano,Defender,Centre,1
Chris Basham,"Defender (Centre, Right)",192.0,77.0,Sheffield United,Defender,Centre,2
Maciej Wilusz,Defender (Centre),188.0,85.0,FC Rostov,Defender,Centre,1
Gerard Moreno,Attacking Midfielder (Centre),180.0,77.0,Villarreal,Midfielder,Centre,1
Ciro Rius,Attacking Midfielder (Right),174.0,71.0,Defensa y Justicia,Midfielder,Right,1
Nikolai Markov,"Defender (Left, Right)",178.0,74.0,FC Krasnodar,Defender,Left,2
Zelimkhan Bakaev,"Attacking Midfielder (Left, Right)",180.0,73.0,Arsenal Tula,Midfielder,Left,2
Maxime Le Marchand,"Defender (Centre, Left)",185.0,77.0,Fulham,Defender,Centre,2
John Guidetti,Forward,185.0,80.0,Deportivo Alaves,Forward,None,1
Antonis Aidonis,Defender,181.0,76.0,VfB Stuttgart,Defender,None,1
Assil Jaziri,Midfielder,176.82833333333335,72.9825,Nice,Midfielder,None,1
Guilherme,Goalkeeper,195.0,95.0,Lokomotiv Moscow,Goalkeeper,None,1
Alfredo Morales,Midfielder (Centre),183.0,77.0,Fortuna Duesseldorf,Midfielder,Centre,1
Falcão,Defensive Midfielder (C),170.0,62.0,Aves,Defensive Midfielder,None,1
Accioly,Defender (Centre),187.0,82.0,Santa Clara,Defender,Centre,1
Carlos Soler,"Midfielder (Centre, Right)",180.0,76.0,Valencia,Midfielder,Centre,2
Dani Schahin,Forward,187.0,82.0,Extremadura,Forward,None,1
Miguel Linares,Forward,181.0,78.0,Real Zaragoza,Forward,None,1
Danil Lipovoy,Midfielder,177.0,69.0,Dinamo Moscow,Midfielder,None,1
Shawn Parker,Forward,181.0,78.0,Greuther Fuerth,Forward,None,1
