link,age_group,days_miss,games_miss,miss_days_per_y
/assil-jaziri/profil/spieler/633398,Sub_20,73.0,8.0,24.333333333333332
/guilherme/profil/spieler/55369,31-34,985.0,111.0,57.94117647058823
/alfredo-morales/profil/spieler/58500,27-30,71.0,11.0,5.461538461538462
/claudio-falcao/profil/spieler/437566,24-26,31.0,4.0,3.875
/accioly/profil/spieler/56054,Plus_35,69.0,8.0,3.1363636363636362
/carlos-soler/profil/spieler/372246,21-23,47.0,9.0,7.833333333333333
/dani-schahin/profil/spieler/58437,27-30,183.0,26.0,14.076923076923077
/miguel-linares/profil/spieler/95504,Plus_35,411.0,42.0,20.55
/danil-lipovoy/profil/spieler/462988,Sub_20,73.0,8.0,24.333333333333332
/shawn-parker/profil/spieler/89659,24-26,677.0,78.0,67.7
/alvaro-vadillo/profil/spieler/162074,24-26,174.0,23.0,21.75
/stefan-johansen/profil/spieler/62008,27-30,45.0,10.0,3.75
/iker-muniain/profil/spieler/54235,24-26,470.0,78.0,47.0
/daniel-heuer-fernandes/profil/spieler/84993,24-26,44.0,6.0,4.4
/jason-puncheon/profil/spieler/47995,31-34,276.0,29.0,17.25
/cian-harries/profil/spieler/319300,21-23,143.0,18.0,23.833333333333332
/oliver-skipp/profil/spieler/406638,Sub_20,73.0,8.0,36.5
/kylian-mbappe/profil/spieler/342229,Sub_20,76.0,11.0,19.0
/edimilson-fernandes/profil/spieler/247555,21-23,208.0,37.0,29.714285714285715
/kortney-hause/profil/spieler/233124,21-23,129.0,23.0,18.428571428571427
/minhoca/profil/spieler/194177,31-34,153.0,25.0,10.2
/gersom-klok/profil/spieler/56325,27-30,43.0,6.0,3.5833333333333335
/georgios-tzavellas/profil/spieler/42942,31-34,177.0,28.0,11.8
/david-costas/profil/spieler/276111,24-26,139.0,21.0,17.375
/marcus-epps/profil/spieler/482646,24-26,174.0,23.0,21.75
/odil-akhmedov/profil/spieler/63606,31-34,61.0,19.0,4.066666666666666
/javier-gandolfi/profil/spieler/26242,Plus_35,244.0,34.0,11.090909090909092
/daniel-salloi/profil/spieler/321946,21-23,25.0,4.0,4.166666666666667
/chey-dunkley/profil/spieler/217094,27-30,183.0,26.0,16.636363636363637
/martin-hinteregger/profil/spieler/85789,24-26,150.0,19.0,15.0
/erik-holt/profil/spieler/510344,21-23,40.0,5.0,6.666666666666667
/tim-knipping/profil/spieler/185520,24-26,318.0,30.0,31.8
/ryad-boudebouz/profil/spieler/77826,27-30,415.0,10.0,31.923076923076923
/marek-hamsik/profil/spieler/38593,31-34,97.0,16.0,6.466666666666667
/luquinhas/profil/spieler/402825,21-23,143.0,18.0,23.833333333333332
/branislav-ivanovic/profil/spieler/36827,Plus_35,114.0,24.0,6.0
/florian-kruger/profil/spieler/317740,Sub_20,258.0,25.0,64.5
/cameron-carter-vickers/profil/spieler/341049,21-23,17.0,4.0,3.4
/lewis-walker/profil/spieler/430801,Sub_20,73.0,8.0,18.25
/rui-patricio/profil/spieler/45026,31-34,27.0,1.0,1.8
/magomed-elmurzaev/profil/spieler/450282,21-23,143.0,18.0,28.6
/ivan-arboleda/profil/spieler/260740,21-23,143.0,18.0,20.428571428571427
/alvaro-raton/profil/spieler/248551,24-26,174.0,23.0,17.4
/wesley-lautoa/profil/spieler/154199,31-34,331.0,52.0,22.066666666666666
/diogo-goncalves/profil/spieler/258015,21-23,143.0,18.0,23.833333333333332
/tomas-rincon/profil/spieler/75942,31-34,206.0,23.0,13.733333333333333
/samuel-chukwueze/profil/spieler/401922,Sub_20,73.0,8.0,24.333333333333332
/simone-iacoponi/profil/spieler/59699,31-34,220.0,31.0,13.75
/oliver-sorg/profil/spieler/55114,27-30,165.0,23.0,13.75
/marcos-acuna/profil/spieler/60410,27-30,30.0,5.0,2.727272727272727
/xadas/profil/spieler/345345,21-23,109.0,18.0,21.8
/nicola-dalmonte/profil/spieler/301237,21-23,58.0,9.0,11.6
/lennart-thy/profil/spieler/23553,27-30,83.0,12.0,7.545454545454546
/juan-andrada/profil/spieler/457212,24-26,174.0,23.0,21.75
/jan-moravek/profil/spieler/63022,27-30,326.0,44.0,25.076923076923077
/nicolas-domingo/profil/spieler/39150,31-34,220.0,31.0,12.941176470588236
/kevin-kampl/profil/spieler/53418,27-30,196.0,30.0,16.333333333333332
/kofi-opare/profil/spieler/256357,27-30,183.0,26.0,15.25
/mitchell-dijks/profil/spieler/187245,24-26,155.0,29.0,15.5
/gotoku-sakai/profil/spieler/103310,27-30,21.0,3.0,1.75
/vlad-chiriches/profil/spieler/123261,27-30,424.0,73.0,32.61538461538461
/artur-nigmatullin/profil/spieler/70074,27-30,183.0,26.0,16.636363636363637
/romain-thomas/profil/spieler/57467,27-30,183.0,26.0,13.071428571428571
/derrick-luckassen/profil/spieler/241457,21-23,206.0,25.0,29.428571428571427
/oscar-trejo/profil/spieler/30321,31-34,70.0,13.0,4.666666666666667
/dominik-reimann/profil/spieler/238722,21-23,225.0,19.0,45.0
/moataz-zemzemi/profil/spieler/422893,Sub_20,73.0,8.0,24.333333333333332
/nils-roseler/profil/spieler/47740,27-30,94.0,7.0,8.545454545454545
/tomer-hemed/profil/spieler/112668,31-34,188.0,18.0,11.75
/olivier-boscagli/profil/spieler/318508,21-23,61.0,10.0,12.2
/tristan-dekker/profil/spieler/315124,21-23,137.0,17.0,27.4
/jan-kral/profil/spieler/358132,Sub_20,73.0,8.0,18.25
/jovane-cabral/profil/spieler/448466,Sub_20,73.0,8.0,18.25
/alex-ferrari/profil/spieler/197491,24-26,132.0,17.0,16.5
/marwin-reuvers/profil/spieler/470910,Sub_20,73.0,8.0,18.25
/ayo-akinola/profil/spieler/370979,Sub_20,73.0,8.0,24.333333333333332
/alessandro-murgia/profil/spieler/289061,21-23,24.0,2.0,4.0
/daniel-didavi/profil/spieler/57995,27-30,220.0,19.0,16.923076923076923
/andrey-lunev/profil/spieler/112541,27-30,91.0,18.0,8.272727272727273
/ilkay-gundogan/profil/spieler/53622,27-30,183.0,26.0,15.25
/dani-parejo/profil/spieler/59561,27-30,66.0,14.0,4.714285714285714
/sandro-wagner/profil/spieler/39743,31-34,74.0,16.0,4.933333333333334
/nikola-vlasic/profil/spieler/293200,21-23,21.0,4.0,4.2
/svante-ingelsson/profil/spieler/321079,Sub_20,282.0,27.0,70.5
/yannick-stark/profil/spieler/49737,27-30,34.0,1.0,2.8333333333333335
/pablo-mari/profil/spieler/210178,24-26,68.0,9.0,7.555555555555555
/rui-silva/profil/spieler/234811,24-26,174.0,23.0,19.333333333333332
/gedion-zelalem/profil/spieler/228370,21-23,520.0,68.0,86.66666666666667
/thijmen-goppel/profil/spieler/342240,21-23,143.0,18.0,23.833333333333332
/nolan-mbemba/profil/spieler/276768,24-26,174.0,23.0,21.75
/frank-acheampong/profil/spieler/157160,24-26,41.0,7.0,4.555555555555555
/sebastian-palacios/profil/spieler/262861,27-30,183.0,26.0,16.636363636363637
/tono/profil/spieler/125931,27-30,439.0,35.0,33.76923076923077
/boubacar-kamara/profil/spieler/394327,Sub_20,107.0,13.0,35.666666666666664
/felix-eboa-eboa/profil/spieler/296359,21-23,143.0,18.0,23.833333333333332
/molla-wague/profil/spieler/129893,27-30,183.0,26.0,15.25
/eric-dier/profil/spieler/175722,24-26,176.0,29.0,19.555555555555557
/tate-schmitt/profil/spieler/637658,21-23,143.0,18.0,28.6
/robert-leipertz/profil/spieler/119120,24-26,208.0,9.0,20.8
/stiven-mendoza/profil/spieler/131101,24-26,128.0,7.0,12.8
/arturo-mina/profil/spieler/263628,27-30,114.0,19.0,9.5
/andre-claro/profil/spieler/86804,27-30,38.0,6.0,3.1666666666666665
/lucas-tousart/profil/spieler/353948,21-23,143.0,18.0,23.833333333333332
/josue/profil/spieler/72772,27-30,73.0,14.0,6.083333333333333
/alejandro-pozuelo/profil/spieler/188853,27-30,238.0,23.0,21.636363636363637
/sergio-floccari/profil/spieler/30638,Plus_35,306.0,39.0,14.571428571428571
/ionut-radu/profil/spieler/303657,21-23,234.0,39.0,46.8
/abdou-traore/profil/spieler/42941,27-30,357.0,58.0,25.5
/marc-andre-ter-stegen/profil/spieler/74857,27-30,120.0,13.0,10.909090909090908
/damian-batallini/profil/spieler/421998,21-23,143.0,18.0,23.833333333333332
/alireza-jahanbakhsh/profil/spieler/213268,24-26,282.0,34.0,31.333333333333332
/ademola-lookman/profil/spieler/406040,21-23,56.0,7.0,11.2
/rajko-rotman/profil/spieler/100303,27-30,62.0,12.0,4.428571428571429
/michael-murillo/profil/spieler/354482,21-23,143.0,18.0,20.428571428571427
/platiny/profil/spieler/248901,27-30,158.0,21.0,13.166666666666666
/kekuta-manneh/profil/spieler/253053,24-26,217.0,24.0,27.125
/said-benrahma/profil/spieler/290532,21-23,143.0,18.0,20.428571428571427
/daryl-murphy/profil/spieler/31312,Plus_35,120.0,19.0,6.0
/anwar-el-ghazi/profil/spieler/183720,24-26,74.0,12.0,9.25
/mickey-van-der-hart/profil/spieler/207048,24-26,81.0,6.0,10.125
/jordan-morris/profil/spieler/337807,24-26,389.0,49.0,48.625
/clinton-njie/profil/spieler/241119,24-26,188.0,35.0,20.88888888888889
/santi-comesana/profil/spieler/380598,21-23,143.0,18.0,23.833333333333332
/onur-ayik/profil/spieler/52006,27-30,382.0,49.0,29.384615384615383
/rodrigo-battaglia/profil/spieler/89297,27-30,215.0,41.0,19.545454545454547
/ih-yeong-park/profil/spieler/307397,24-26,90.0,12.0,11.25
/welinton/profil/spieler/95152,27-30,89.0,12.0,6.357142857142857
/antonio-mirante/profil/spieler/22141,Plus_35,317.0,41.0,16.68421052631579
/dominic-samuel/profil/spieler/203784,24-26,174.0,23.0,19.333333333333332
