current_value,highest_value,last_team,prev_team,prev_prev_team,link,value_loss,current_log,double_trans
450000,450000,Celta de Vigo,Celta Vigo B,Celta U19,/kevin-vazquez/profil/spieler/221315,0,13.017002861746503,2.5662564153311536
1350000,1350000,FC Augsburg,FC Augsburg U19,FC Augsburg U17,/raphael-framberger/profil/spieler/146163,0,14.115615150414612,2.647281642081681
315000,315000,Anzhi,Anzhi II,Zorkiy,/anton-belov/profil/spieler/425746,0,12.66032791780777,2.5384733182611328
36000000,36000000,FC Barcelona,Benfica,Benfica B,/nelson-semedo/profil/spieler/231572,0,17.399029496420383,2.8564144285971467
22500000,22500000,Fulham,Marseille,Marseille B,/andre-zambo-anguissa/profil/spieler/354361,0,16.929025867174648,2.829029655634018
720000,720000,Guingamp,Clermont Foot,Monaco,/marc-aurele-caillard/profil/spieler/205465,0,13.487006490992238,2.601726739812297
16200000,40500000,FC Barcelona,Bayern Munich,Juventus,/arturo-vidal/profil/spieler/37666,-24300000,16.600521800202614,2.8094341286156133
2480000,2480000,River Plate,Godoy Cruz,Pescara,/luciano-abecasis/profil/spieler/149435,0,14.723769118141165,2.6894631347459894
270000,315000,CA Banfield,Banfield II,Banfield U20,/alexis-maldonado/profil/spieler/444100,-45000,12.506177237980511,2.5262227012804486
360000,360000,Erzgebirge Aue,1.FC Köln II,FCO Neugersdorf,/filip-kusic/profil/spieler/217285,0,12.793859310432293,2.5489653144403843
3600000,5850000,Huddersfield,FC Porto,KAA Gent,/laurent-depoitre/profil/spieler/90583,-2250000,15.096444403426338,2.7144592461217063
1800000,7650000,Spurs,Swansea,FC Utrecht,/michel-vorm/profil/spieler/26276,-5850000,14.403297222866392,2.667457154181619
2250000,3150000,Werder Bremen,Slovan Liberec,Slavia Prag,/theodor-gebre-selassie/profil/spieler/60632,-900000,14.626440774180603,2.6828309027395756
720000,900000,KS Samara,Anzhi,Orenburg,/vladimir-poluyakhtov/profil/spieler/58429,-180000,13.487006490992238,2.601726739812297
1580000,2700000,Saint-Étienne,FC Utrecht,Saint-Étienne,/oussama-tannane/profil/spieler/235540,-1120000,14.27293540500315,2.658365114959758
900000,900000,Fiorentina,Partizan,Partizan U19,/dusan-vlahovic/profil/spieler/357498,0,13.710150042306449,2.6181364375191847
12600000,12600000,Real Betis,América,CF América U20,/diego-lainez/profil/spieler/371174,0,16.349207371921707,2.7941794173865815
450000,720000,Argentinos Jrs,Argentinos II,No_team,/thomas-amilivia/profil/spieler/639767,-270000,13.017002861746503,2.5662564153311536
4950000,4950000,TSG Hoffenheim,Hoffenheim II,Hoffenheim U19,/stefan-posch/profil/spieler/223974,0,15.414898134544874,2.735334453112898
1580000,2700000,Palmeiras,CA Rosario,Palmeiras,/agustin-allione/profil/spieler/189411,-1120000,14.27293540500315,2.658365114959758
1580000,1800000,Minnesota Utd.,Reims,KV Kortrijk,/romain-metanire/profil/spieler/154209,-220000,14.27293540500315,2.658365114959758
11250000,11250000,Boca Juniors,Peñarol,Peñarol U19,/nahitan-nandez/profil/spieler/315063,0,16.235878686614704,2.7872235270723325
8100000,8100000,West Brom,Hull City,Spurs,/jake-livermore/profil/spieler/61832,0,15.907374619642667,2.766782814254532
1350000,1620000,Boca Juniors,América,Lanús,/paolo-goltz/profil/spieler/55183,-270000,14.115615150414612,2.647281642081681
1580000,2480000,Chicago Fire,Alavés,Chicago Fire,/aleksandar-katai/profil/spieler/139915,-900000,14.27293540500315,2.658365114959758
6300000,11700000,Everton,Cardiff,Everton,/oumar-niasse/profil/spieler/209781,-5400000,15.65606019136176,2.7508580747058122
1350000,1800000,E. Frankfurt,F. Düsseldorf,E. Frankfurt,/aymen-barkok/profil/spieler/315332,-450000,14.115615150414612,2.647281642081681
1350000,6300000,Sassuolo,Sampdoria,Benevento,/filip-djuricic/profil/spieler/94307,-4950000,14.115615150414612,2.647281642081681
405000,405000,SC Paderborn,Hallescher FC,Stuttg. Kickers,/klaus-gjasula/profil/spieler/57598,0,12.911642346088676,2.5581294118013846
36000000,40500000,Man City,Monaco,Marseille,/benjamin-mendy/profil/spieler/157495,-4500000,17.399029496420383,2.8564144285971467
405000,1350000,KSC Lokeren,FC Emmen,KSC Lokeren,/luciano-slagveer/profil/spieler/187298,-945000,12.911642346088676,2.5581294118013846
3150000,4500000,Girona,Stoke City,Girona,/marc-muniesa/profil/spieler/74228,-1350000,14.962913010801817,2.705574673564241
450000,720000,,,,/lechii-sadulaev/profil/spieler/623553,-270000,13.017002861746503,2.5662564153311536
9000000,9000000,Chelsea,Newcastle,Chelsea,/kenedy/profil/spieler/281404,0,16.012735135300492,2.773384351599064
360000,450000,Werder Bremen,ADO Den Haag,ADO Den Haag,/melvyn-lorenzen/profil/spieler/143121,-90000,12.793859310432293,2.5489653144403843
1620000,1620000,Alavés,UD Logroñés,SD Eibar,/manu-garcia/profil/spieler/76273,0,14.297936707208567,2.660115240646414
315000,315000,Zenit 2 S-Pb,Zenit II,Akademia Zenit,/leon-musaev/profil/spieler/375668,0,12.66032791780777,2.5384733182611328
3150000,9000000,Spartak Moscow,Loko Moscow,Loko Moscow II,/denis-glushakov/profil/spieler/55336,-5850000,14.962913010801817,2.705574673564241
180000,540000,Feirense,Boavista,Freamunde,/tiago-mesquita/profil/spieler/130622,-360000,12.100712129872347,2.493264304579342
405000,2250000,Y. Malatyaspor,Boluspor,Gaziantep BB,/murat-yildirim/profil/spieler/35530,-1845000,12.911642346088676,2.5581294118013846
180000,1350000,Feirense,Indep. Santa Fe,Once Caldas,/jose-valencia/profil/spieler/119183,-1170000,12.100712129872347,2.493264304579342
810000,900000,SPAL,Chievo Verona,SPAL,/filippo-costa/profil/spieler/197743,-90000,13.604789526648622,2.6104219018214327
4500000,9000000,Bor. Dortmund,B. Dortmund II,B. Dortmund U19,/marcel-schmelzer/profil/spieler/35208,-4500000,15.319587954740548,2.72913226804608
18000000,22500000,RB Leipzig,Paris SG,Paris SG B,/jean-kevin-augustin/profil/spieler/264956,-4500000,16.70588231586044,2.8157608918853683
1080000,4950000,SZ FC,Saint-Étienne,Stade Rennais,/cheikh-mbengue/profil/spieler/56795,-3870000,13.892471599100402,2.6313470818366054
248000,405000,Argentinos Jrs,Liverpool FC,Peñarol,/jonathan-sandoval/profil/spieler/74268,-157000,12.421184025147118,2.5194034040989624
5400000,18000000,Atlético Madrid,Fulham,Atlético Madrid,/luciano-vietto/profil/spieler/214316,-12600000,15.501909511534503,2.740963210629956
2700000,3150000,Genoa,Chievo Verona,Atalanta,/ivan-radovanovic/profil/spieler/46105,-450000,14.808762330974558,2.6952190549681467
540000,1800000,FC Emmen,KV Mechelen,KV Oostende,/nicklas-pedersen/profil/spieler/44588,-1260000,13.199324418540456,2.580165647868961
13500000,13500000,Fulham,Swansea,Barnsley FC,/alfie-mawson/profil/spieler/287431,0,16.41820024340866,2.798390490429152
720000,1080000,Estudiantes,CA Banfield,Club Tijuana,/enzo-kalinski/profil/spieler/67818,-360000,13.487006490992238,2.601726739812297
1350000,1350000,Hull City,West Ham,Bolton,/reece-burke/profil/spieler/264220,0,14.115615150414612,2.647281642081681
270000,450000,Enisey,Rubin Kazan,Rubin Kazan II,/yuri-nesterenko/profil/spieler/147072,-180000,12.506177237980511,2.5262227012804486
1350000,1350000,Brentford,Southend United,Braintree,/daniel-bentley/profil/spieler/136401,0,14.115615150414612,2.647281642081681
4500000,13500000,Loko Moscow,Besiktas,Valencia,/manuel-fernandes/profil/spieler/16791,-9000000,15.319587954740548,2.72913226804608
450000,11700000,Genoa,Lazio,Cagliari Calcio,/federico-marchetti/profil/spieler/22318,-11250000,13.017002861746503,2.5662564153311536
22500000,27000000,Real Sociedad,Maldonado,UD Las Palmas,/willian-jose/profil/spieler/122155,-4500000,16.929025867174648,2.829029655634018
225000,450000,CA Rosario,Argentinos Jrs,CA Rosario,/elias-gomez/profil/spieler/302139,-225000,12.323855681186558,2.5115368702785252
270000,360000,CD Lugo,Gimnàstic,Alavés,/manu-barreiro/profil/spieler/72484,-90000,12.506177237980511,2.5262227012804486
2700000,2700000,Sheffield Utd.,Brighton,Sheffield Utd.,/oliver-norwood/profil/spieler/73547,0,14.808762330974558,2.6952190549681467
540000,585000,Cincinnati,Houston,RGV FC Toros,/eric-alexander/profil/spieler/146031,-45000,13.199324418540456,2.580165647868961
765000,9450000,Basaksehir,Antalyaspor,Basaksehir,/mevlut-erdinc/profil/spieler/38360,-8685000,13.547631112808673,2.606211706418953
1800000,2250000,FC Augsburg,F. Düsseldorf,FC Augsburg,/takashi-usami/profil/spieler/111881,-450000,14.403297222866392,2.667457154181619
585000,1350000,Heerenveen,Feyenoord,NEC Nijmegen,/lucas-woudenberg/profil/spieler/221766,-765000,13.279367126213993,2.586211486754112
1350000,1350000,Ipswich,Esbjerg fB,Esbjerg fB U19,/jonas-knudsen/profil/spieler/144904,0,14.115615150414612,2.647281642081681
360000,450000,Cincinnati,SC Freiburg,FC Vaduz,/caleb-stanko/profil/spieler/190269,-90000,12.793859310432293,2.5489653144403843
