link,search,results,res_stand
/ilzat-akhmetov/profil/spieler/334440,Ilzat+Akhmetov+CSKA+Moscow,26300.0,-0.23502857326181037
/lucas-digne/profil/spieler/126664,Lucas+Digne+Everton,686000.0,-0.045309302855841734
/ravanelli/profil/spieler/390370,Ravanelli+FK+Akhmat,14400.0,-0.2384508247667839
/lionel-messi/profil/spieler/28003,Lionel+Messi+Barcelona,76800000.0,21.84387145761088
/raul-albiol/profil/spieler/15452,Raúl+Albiol+Napoli,341000.0,-0.14452583808406544
/rodrigo-brana/profil/spieler/56001,Rodrigo+Braña+Estudiantes,170000.0,-0.19370272945805458
/josh-sargent/profil/spieler/393325,Joshua+Sargent+Werder+Bremen,142000.0,-0.20175508594034522
/gonzalo-castellani/profil/spieler/87840,Gonzalo+Castellani+San+Lorenzo,204000.0,-0.1839248680152731
/dominik-kohr/profil/spieler/118847,Dominik+Kohr+Bayer+Leverkusen,141000.0,-0.202042670100427
/timur-zhamaletdinov/profil/spieler/315557,Timur+Zhamaletdinov+CSKA+Moscow,19000.0,-0.23712793763040757
/pawel-jaroszynski/profil/spieler/287600,Pawel+Jaroszynski+Chievo,51300.0,-0.22783896925976518
/rani-khedira/profil/spieler/124410,Rani+Khedira+Augsburg,106000.0,-0.2121081157032903
/lisandro-martinez/profil/spieler/480762,Lisandro+Martínez+Defensa+y+Justicia,412000.0,-0.12410736271825709
/ahmed-ildiz/profil/spieler/226169,Ahmed+Ildiz+Yeni+Malatyaspor,57300.0,-0.22611346429927434
/erick-cabaco/profil/spieler/302991,Erick+Cabaco+Levante,120000.0,-0.20808193746214498
/salih-dursun/profil/spieler/176961,Salih+Dursun+Antalyaspor,177000.0,-0.19168964033748193
/rouwen-hennings/profil/spieler/16311,Rouwen+Hennings+Fortuna+Duesseldorf,107000.0,-0.21182053154320848
/javier-manquillo/profil/spieler/162029,Javier+Manquillo+Newcastle+United,160000.0,-0.19657857105887266
/vincent-manceau/profil/spieler/83132,Vincent+Manceau+Angers,143000.0,-0.2014675017802634
/adis-jahovic/profil/spieler/98536,Adis+Jahovic+Konyaspor,113000.0,-0.21009502658271764
/tom-carroll/profil/spieler/121279,Tom+Carroll+Swansea,770000.0,-0.021152233408969875
/jonathan-biabiany/profil/spieler/45567,Jonathan+Biabiany+Parma+Calcio+1913,47800.0,-0.2288455138200515
/nahuel-molina/profil/spieler/424042,Nahuel+Molina+Rosario+Central,417000.0,-0.12266944191784805
/jonas-martin/profil/spieler/127142,Jonas+Martin+Strasbourg,1550000.0,0.20316341145484024
/marlon-ritter/profil/spieler/151636,Marlon+Ritter+Paderborn,78100.0,-0.22013171376957272
/ayoub-el-kaabi/profil/spieler/521127,Ayoub+El+Kaabi+Hebei+CFFC,26700.0,-0.23491353959777764
/adam-smith/profil/spieler/61841,Adam+Smith+Bournemouth,2840000.0,0.5741469779603724
/chris-lowe/profil/spieler/55125,Chris+Löwe+Huddersfield,75400.0,-0.2209081910017936
/sem-steijn/profil/spieler/593519,Sem+Steijn+VVV-Venlo,27000.0,-0.2348272643497531
/alex-telles/profil/spieler/255755,Alex+Telles+FC+Porto,1240000.0,0.11401232182947982
/jorrit-hendrix/profil/spieler/205004,Jorrit+Hendrix+PSV+Eindhoven,102000.0,-0.2132584523436175
/marco-asensio/profil/spieler/296622,Marco+Asensio+Real+Madrid,7250000.0,1.842393123921145
/timo-baumgartl/profil/spieler/187491,Timo+Baumgartl+VfB+Stuttgart,121000.0,-0.20779435330206317
/javi-fuego/profil/spieler/56134,Javi+Fuego+Villarreal,303000.0,-0.15545403616717415
/joao-teixeira/profil/spieler/182710,João+Teixeira+Chaves,770074.0,-0.021130952181123822
/facundo-piriz/profil/spieler/148607,Facundo+Píriz+Montpellier,30000.0,-0.23396451186950767
/younes-namli/profil/spieler/227039,Younes+Namli+PEC+Zwolle,67100.0,-0.2232951395304726
