league,link,teams
Ligue 1 (FRA),/fc-nantes/startseite/verein/995,FC Nantes
Ligue 1 (FRA),/racing-strassburg/startseite/verein/667,RC Strasbourg Alsace
Ligue 1 (FRA),/olympique-nimes/startseite/verein/1160,Nîmes Olympique
Ligue 1 (FRA),/fc-toulouse/startseite/verein/415,FC Toulouse
Ligue 1 (FRA),/stade-reims/startseite/verein/1421,Stade Reims
Ligue 1 (FRA),/fco-dijon/startseite/verein/2969,FCO Dijon
Ligue 1 (FRA),/ea-guingamp/startseite/verein/855,EA Guingamp
Ligue 1 (FRA),/sco-angers/startseite/verein/1420,SCO Angers
Ligue 1 (FRA),/sc-amiens/startseite/verein/1416,SC Amiens
Ligue 1 (FRA),/sm-caen/startseite/verein/1162,SM Caen
Ligue 1 (FRA),/osc-lille/startseite/verein/1082,LOSC Lille
Ligue 1 (FRA),/olympique-marseille/startseite/verein/244,Olympique Marseille
Ligue 1 (FRA),/hsc-montpellier/startseite/verein/969,HSC Montpellier
Ligue 1 (FRA),/olympique-lyon/startseite/verein/1041,Olympique Lyon
Ligue 1 (FRA),/fc-paris-saint-germain/startseite/verein/583,Paris Saint-Germain
Bundesliga 2 (GER),/1-fc-union-berlin/startseite/verein/89,1.FC Union Berlin
Bundesliga 2 (GER),/holstein-kiel/startseite/verein/269,Holstein Kiel
Bundesliga 2 (GER),/fc-st-pauli/startseite/verein/35,FC St. Pauli
Bundesliga 2 (GER),/dynamo-dresden/startseite/verein/129,SG Dynamo Dresden
Bundesliga 2 (GER),/arminia-bielefeld/startseite/verein/10,Arminia Bielefeld
Bundesliga 2 (GER),/fc-ingolstadt-04/startseite/verein/4795,FC Ingolstadt 04
Bundesliga 2 (GER),/sv-darmstadt-98/startseite/verein/105,SV Darmstadt 98
Bundesliga 2 (GER),/1-fc-heidenheim/startseite/verein/2036,1.FC Heidenheim 1846
Bundesliga 2 (GER),/spvgg-greuther-furth/startseite/verein/65,SpVgg Greuther Fürth
Bundesliga 2 (GER),/ssv-jahn-regensburg/startseite/verein/109,SSV Jahn Regensburg
Bundesliga 2 (GER),/msv-duisburg/startseite/verein/52,MSV Duisburg
Bundesliga 2 (GER),/fc-erzgebirge-aue/startseite/verein/94,FC Erzgebirge Aue
Bundesliga 2 (GER),/1-fc-magdeburg/startseite/verein/187,1.FC Magdeburg
Bundesliga 2 (GER),/vfl-bochum/startseite/verein/80,VfL Bochum
Bundesliga 2 (GER),/sc-paderborn-07/startseite/verein/127,SC Paderborn 07
Bundesliga 2 (GER),/sv-sandhausen/startseite/verein/254,SV Sandhausen
Bundesliga 2 (GER),/hamburger-sv/startseite/verein/41,Hamburger SV
Bundesliga 2 (GER),/1-fc-koln/startseite/verein/3,1. FC Köln
La Liga 2 (SPA),/sporting-gijon/startseite/verein/2448,Sporting Gijón
La Liga 2 (SPA),/fc-granada/startseite/verein/16795,Granada CF
La Liga 2 (SPA),/ca-osasuna/startseite/verein/331,CA Osasuna
La Liga 2 (SPA),/real-saragossa/startseite/verein/142,Real Zaragoza
La Liga 2 (SPA),/cd-teneriffa/startseite/verein/648,CD Tenerife
