league,links,teams
MLS (USA),/Teams/1119/Show/USA-DC-United,DC United
MLS (USA),/Teams/1113/Show/USA-Columbus-Crew,Columbus Crew
MLS (USA),/Teams/9293/Show/USA-Minnesota-United,Minnesota United
MLS (USA),/Teams/5973/Show/USA-Seattle-Sounders-FC,Seattle Sounders FC
MLS (USA),/Teams/11133/Show/USA-Portland-Timbers,Portland Timbers
MLS (USA),/Teams/1122/Show/USA-San-Jose-Earthquakes,San Jose Earthquakes
MLS (USA),/Teams/27482/Show/USA-Los-Angeles-FC,Los Angeles FC
MLS (USA),/Teams/1118/Show/USA-Chicago-Fire,Chicago Fire
MLS (USA),/Teams/26666/Show/USA-Atlanta-United,Atlanta United
MLS (USA),/Teams/1116/Show/USA-Sporting-Kansas-City,Sporting Kansas City
MLS (USA),/Teams/1116/Show/USA-Kansas-City,Kansas City
MLS (USA),/Teams/4186/Show/Canada-Toronto,Toronto
MLS (USA),/Teams/2947/Show/USA-Salt-Lake,Salt Lake
MLS (USA),/Teams/1114/Show/USA-New-England,New England
MLS (USA),/Teams/1120/Show/USA-Colorado,Colorado
MLS (USA),/Teams/1122/Show/USA-San-Jose,San Jose
MLS (USA),/Teams/5973/Show/USA-Seattle,Seattle
MLS (USA),/Teams/11135/Show/Canada-Montreal,Montreal
MLS (USA),/Teams/1118/Show/USA-Chicago,Chicago
MLS (USA),/Teams/3624/Show/USA-Houston,Houston
MLS (USA),/Teams/1117/Show/USA-L-A-Galaxy,L.A. Galaxy
