link,player,team
/Players/303743/Show/Josh-Tymon,Josh Tymon,Stoke
/jack-butland/profil/spieler/128899,J. Butland,Stoke
/jakob-haugaard/profil/spieler/138335,J. Haugaard,Stoke
/bruno-martins-indi/profil/spieler/112052,B. Martins Indi,Stoke
/ryan-shawcross/profil/spieler/45861,R. Shawcross,Stoke
/danny-batth/profil/spieler/129049,D. Batth,Stoke
/josh-tymon/profil/spieler/419929,J. Tymon,Stoke
/moritz-bauer/profil/spieler/159692,M. Bauer,Stoke
/tom-edwards/profil/spieler/430788,T. Edwards,Stoke
/ryan-woods/profil/spieler/232897,R. Woods,Stoke
/oghenekaro-etebo/profil/spieler/409106,O. Etebo,Stoke
/darren-fletcher/profil/spieler/3547,D. Fletcher,Stoke
/saido-berahino/profil/spieler/128897,S. Berahino,Stoke
/sam-vokes/profil/spieler/48078,Sam Vokes,Stoke
/adam-federici/profil/spieler/4233,Adam Federici,Stoke
/ashley-williams/profil/spieler/67355,Ashley Williams,Stoke
/charlie-adam/profil/spieler/28990,Charlie Adam,Stoke
/mame-diouf/profil/spieler/62049,Mame Diouf,Stoke
/bojan-krkic/profil/spieler/44675,Bojan Krkic,Stoke
/thibaud-verlinden/profil/spieler/338673,Thibaud Verlinden,Stoke
/benik-afobe/profil/spieler/110858,Benik Afobe,Stoke
/tom-ince/profil/spieler/157368,Tom Ince,Stoke
/joe-allen/profil/spieler/51452,Joe Allen,Stoke
/james-mcclean/profil/spieler/85935,James McClean,Stoke
/sam-clucas/profil/spieler/122223,Sam Clucas,Stoke
/Players/134893/Show/Nabil-Fekir,Nabil Fekir,Lyon
/Players/110154/Show/Memphis-Depay,Memphis Depay,Lyon
/Players/27761/Show/Marcelo,Marcelo,Lyon
/Players/121718/Show/Marçal,Marçal,Lyon
/Players/296337/Show/Ferland-Mendy,Ferland Mendy,Lyon
/Players/322096/Show/Houssem-Aouar,Houssem Aouar,Lyon
/Players/109807/Show/Bertrand-Traoré,Bertrand Traoré,Lyon
/Players/146724/Show/Léo-Dubois,Léo Dubois,Lyon
/Players/145996/Show/Kenny-Tete,Kenny Tete,Lyon
/Players/140090/Show/Moussa-Dembele,Moussa Dembele,Lyon
/Players/321389/Show/Tanguy-NDombele,Tanguy NDombele,Lyon
/Players/243511/Show/Jason-Denayer,Jason Denayer,Lyon
/Players/22115/Show/Jérémy-Morel,Jérémy Morel,Lyon
/Players/329356/Show/Martin-Terrier,Martin Terrier,Lyon
/Players/300705/Show/Lucas-Tousart,Lucas Tousart,Lyon
/Players/71833/Show/Anthony-Lopes,Anthony Lopes,Lyon
/Players/4092/Show/Rafael,Rafael,Lyon
/Players/125004/Show/Maxwel-Cornet,Maxwel Cornet,Lyon
/Players/81949/Show/Mathieu-Gorgelin,Mathieu Gorgelin,Lyon
/Players/323236/Show/Mariano,Mariano,Lyon
/Players/95422/Show/Jordan-Ferri,Jordan Ferri,Lyon
/Players/279511/Show/Pape-Cheikh,Pape Cheikh,Lyon
/Players/370370/Show/Yassin-Fekir,Yassin Fekir,Lyon
/Players/357535/Show/Lenny-Pintor,Lenny Pintor,Lyon
/Players/354072/Show/Oumar-Solet,Oumar Solet,Lyon
/anthony-lopes/profil/spieler/60561,A. Lopes,Lyon
/anthony-racioppi/profil/spieler/395671,A. Racioppi,Lyon
/jason-denayer/profil/spieler/277114,J. Denayer,Lyon
/marcelo/profil/spieler/52920,Marcelo,Lyon
/mapou-yanga-mbiwa/profil/spieler/57480,M. Yanga-Mbiwa,Lyon
/oumar-solet/profil/spieler/463665,O. Solet,Lyon
/ferland-mendy/profil/spieler/291417,F. Mendy,Lyon
/marcal/profil/spieler/137745,Marçal,Lyon
/leo-dubois/profil/spieler/236400,L. Dubois,Lyon
/rafael/profil/spieler/61892,Rafael,Lyon
/tanguy-ndombele/profil/spieler/450936,T. Ndombélé,Lyon
/olivier-kemen/profil/spieler/243725,O. Kemen,Lyon
/maxence-caqueret/profil/spieler/395237,M. Caqueret,Lyon
/bertrand-traore/profil/spieler/131996,B. Traoré,Lyon
/lenny-pintor/profil/spieler/418660,L. Pintor,Lyon
/amine-gouiri/profil/spieler/418659,A. Gouiri,Lyon
/mathieu-gorgelin/profil/spieler/60543,Mathieu Gorgelin,Lyon
/jeremy-morel/profil/spieler/23960,Jérémy Morel,Lyon
/kenny-tete/profil/spieler/206746,Kenny Tete,Lyon
/pape-cheikh/profil/spieler/336828,Pape Cheikh,Lyon
/lucas-tousart/profil/spieler/353948,Lucas Tousart,Lyon
/maxwel-cornet/profil/spieler/234781,Maxwel Cornet,Lyon
/moussa-dembele/profil/spieler/229004,Moussa Dembélé,Lyon
/nabil-fekir/profil/spieler/203496,Nabil Fekir,Lyon
/martin-terrier/profil/spieler/442891,Martin Terrier,Lyon
/memphis-depay/profil/spieler/167850,Memphis Depay,Lyon
/houssem-aouar/profil/spieler/395693,Houssem Aouar,Lyon
/Players/259930/Show/Younes-Namli,Younes Namli,PEC Zwolle
/Players/84195/Show/Lennart-Thy,Lennart Thy,PEC Zwolle
/Players/244583/Show/Kingsley-Ehizibue,Kingsley Ehizibue,PEC Zwolle
/Players/100608/Show/Mike-van-Duinen,Mike van Duinen,PEC Zwolle
/Players/279173/Show/Pelle-Clement,Pelle Clement,PEC Zwolle
/Players/34108/Show/Bram-van-Polen,Bram van Polen,PEC Zwolle
/Players/343314/Show/Vito-van-Crooij,Vito van Crooij,PEC Zwolle
/Players/332143/Show/Gustavo-Hamer,Gustavo Hamer,PEC Zwolle
/Players/104906/Show/Thomas-Lam,Thomas Lam,PEC Zwolle
/Players/231009/Show/Rick-Dekker,Rick Dekker,PEC Zwolle
/Players/231106/Show/Kenneth-Paal,Kenneth Paal,PEC Zwolle
/Players/121834/Show/Mickey-van-der-Hart,Mickey van der Hart,PEC Zwolle
/Players/99897/Show/Ruben-Ligeon,Ruben Ligeon,PEC Zwolle
/Players/244640/Show/Clint-Leemans,Clint Leemans,PEC Zwolle
/Players/96571/Show/Ouasim-Bouy,Ouasim Bouy,PEC Zwolle
/Players/351705/Show/Sepp-van-den-Berg,Sepp van den Berg,PEC Zwolle
/Players/69584/Show/Darryl-Lachman,Darryl Lachman,PEC Zwolle
/Players/361694/Show/Zian-Flemming,Zian Flemming,PEC Zwolle
/Players/361693/Show/Denis-Genreau,Denis Genreau,PEC Zwolle
/Players/369545/Show/Yuta-Nakayama,Yuta Nakayama,PEC Zwolle
/Players/363567/Show/Alessandro-Tripaldelli,Alessandro Tripaldelli,PEC Zwolle
/Players/120329/Show/Stanley-Elbers,Stanley Elbers,PEC Zwolle
/Players/34267/Show/Diederik-Boer,Diederik Boer,PEC Zwolle
/Players/302650/Show/Gianluca-Scamacca,Gianluca Scamacca,PEC Zwolle
/Players/24720/Show/Dirk-Marcellis,Dirk Marcellis,PEC Zwolle
/Players/110735/Show/Terell-Ondaan,Terell Ondaan,PEC Zwolle
/mickey-van-der-hart/profil/spieler/207048,M. van der Hart,PEC Zwolle
/diederik-boer/profil/spieler/7288,D. Boer,PEC Zwolle
/yuta-nakayama/profil/spieler/346647,Y. Nakayama,PEC Zwolle
/darryl-lachman/profil/spieler/93393,D. Lachman,PEC Zwolle
/kenneth-paal/profil/spieler/247596,K. Paal,PEC Zwolle
/dico-koppers/profil/spieler/111184,D. Koppers,PEC Zwolle
/kingsley-ehizibue/profil/spieler/272812,K. Ehizibue,PEC Zwolle
/bram-van-polen/profil/spieler/41583,B. van Polen,PEC Zwolle
/pelle-clement/profil/spieler/297693,P. Clement,PEC Zwolle
/gustavo-hamer/profil/spieler/322985,G. Hamer,PEC Zwolle
/bas-van-wijnen/profil/spieler/411454,B. van Wijnen,PEC Zwolle
/steff-kaptein/profil/spieler/460620,S. Kaptein,PEC Zwolle
/denis-genreau/profil/spieler/470618,D. Genreau,PEC Zwolle
/dean-bouzanis/profil/spieler/50104,Dean Bouzanis,PEC Zwolle
/sepp-van-den-berg/profil/spieler/541231,Sepp van den Berg,PEC Zwolle
/ouasim-bouy/profil/spieler/126412,Ouasim Bouy,PEC Zwolle
/rick-dekker/profil/spieler/299121,Rick Dekker,PEC Zwolle
/zian-flemming/profil/spieler/411537,Zian Flemming,PEC Zwolle
/clint-leemans/profil/spieler/250464,Clint Leemans,PEC Zwolle
/stanley-elbers/profil/spieler/188905,Stanley Elbers,PEC Zwolle
/vito-van-crooij/profil/spieler/312493,Vito van Crooij,PEC Zwolle
/mike-van-duinen/profil/spieler/183397,Mike van Duinen,PEC Zwolle
/lennart-thy/profil/spieler/23553,Lennart Thy,PEC Zwolle
/younes-namli/profil/spieler/227039,Younes Namli,PEC Zwolle
/thomas-lam/profil/spieler/131821,Thomas Lam,PEC Zwolle
/Players/362806/Show/Mark-Travers,Mark Travers,Bournemouth
/Players/93160/Show/Ryan-Fraser,Ryan Fraser,Bournemouth
/Players/134115/Show/Callum-Wilson,Callum Wilson,Bournemouth
/Players/68662/Show/Steve-Cook,Steve Cook,Bournemouth
/Players/81026/Show/Joshua-King,Joshua King,Bournemouth
/Players/133464/Show/Jefferson-Lerma,Jefferson Lerma,Bournemouth
/Players/122945/Show/Nathan-Aké,Nathan Aké,Bournemouth
/Players/295084/Show/David-Brooks,David Brooks,Bournemouth
/Players/9298/Show/Simon-Francis,Simon Francis,Bournemouth
/Players/14111/Show/Artur-Boruc,Artur Boruc,Bournemouth
/Players/13846/Show/Dan-Gosling,Dan Gosling,Bournemouth
/Players/69877/Show/Adam-Smith,Adam Smith,Bournemouth
/Players/302862/Show/Jack-Simpson,Jack Simpson,Bournemouth
/Players/136459/Show/Dominic-Solanke,Dominic Solanke,Bournemouth
/Players/231119/Show/Emerson-Hyndman,Emerson Hyndman,Bournemouth
/Players/24827/Show/Charlie-Daniels,Charlie Daniels,Bournemouth
/Players/342842/Show/Chris-Mepham,Chris Mepham,Bournemouth
/Players/69375/Show/Nathaniel-Clyne,Nathaniel Clyne,Bournemouth
/Players/69912/Show/Junior-Stanislas,Junior Stanislas,Bournemouth
/Players/123167/Show/Tyrone-Mings,Tyrone Mings,Bournemouth
/Players/136456/Show/Lewis-Cook,Lewis Cook,Bournemouth
/Players/323352/Show/Diego-Rico,Diego Rico,Bournemouth
/Players/13447/Show/Andrew-Surman,Andrew Surman,Bournemouth
/Players/23122/Show/Asmir-Begovic,Asmir Begovic,Bournemouth
/Players/105797/Show/Jordon-Ibe,Jordon Ibe,Bournemouth
/Players/296332/Show/Lys-Mousset,Lys Mousset,Bournemouth
/Players/296870/Show/Sam-Surridge,Sam Surridge,Bournemouth
/Players/2837/Show/Jermain-Defoe,Jermain Defoe,Bournemouth
/asmir-begovic/profil/spieler/33873,A. Begovic,Bournemouth
/mark-travers/profil/spieler/357658,M. Travers,Bournemouth
/steve-cook/profil/spieler/90836,S. Cook,Bournemouth
/jack-simpson/profil/spieler/419930,J. Simpson,Bournemouth
/diego-rico/profil/spieler/249513,D. Rico,Bournemouth
/charlie-daniels/profil/spieler/61819,C. Daniels,Bournemouth
/nathaniel-clyne/profil/spieler/85177,N. Clyne,Bournemouth
/adam-smith/profil/spieler/61841,A. Smith,Bournemouth
/simon-francis/profil/spieler/13573,S. Francis,Bournemouth
/jefferson-lerma/profil/spieler/262980,J. Lerma,Bournemouth
/lewis-cook/profil/spieler/249089,L. Cook,Bournemouth
/dan-gosling/profil/spieler/44983,D. Gosling,Bournemouth
/andrew-surman/profil/spieler/29975,A. Surman,Bournemouth
/junior-stanislas/profil/spieler/87672,J. Stanislas,Bournemouth
/jordon-ibe/profil/spieler/195652,J. Ibe,Bournemouth
/dominic-solanke/profil/spieler/258889,D. Solanke,Bournemouth
/artur-boruc/profil/spieler/15220,Artur Boruc,Bournemouth
/chris-mepham/profil/spieler/480987,Chris Mepham,Bournemouth
/emerson-hyndman/profil/spieler/223047,Emerson Hyndman,Bournemouth
/nnamdi-ofoborh/profil/spieler/611906,Nnamdi Ofoborh,Bournemouth
/kyle-taylor/profil/spieler/562254,Kyle Taylor,Bournemouth
/lys-mousset/profil/spieler/291422,Lys Mousset,Bournemouth
/sam-surridge/profil/spieler/398402,Sam Surridge,Bournemouth
/callum-wilson/profil/spieler/123682,Callum Wilson,Bournemouth
/joshua-king/profil/spieler/91059,Joshua King,Bournemouth
/ryan-fraser/profil/spieler/146795,Ryan Fraser,Bournemouth
/david-brooks/profil/spieler/277033,David Brooks,Bournemouth
/nathan-ake/profil/spieler/177476,Nathan Aké,Bournemouth
/Players/12476/Show/Manuel-Fernandes,Manuel Fernandes,Lokomotiv Moscow
/Players/129354/Show/Aleksey-Miranchuk,Aleksey Miranchuk,Lokomotiv Moscow
/Players/22040/Show/Vedran-Corluka,Vedran Corluka,Lokomotiv Moscow
/Players/67424/Show/Grzegorz-Krychowiak,Grzegorz Krychowiak,Lokomotiv Moscow
/Players/5725/Show/Jefferson-Farfán,Jefferson Farfán,Lokomotiv Moscow
/Players/102399/Show/Solomon-Kvirkvelia,Solomon Kvirkvelia,Lokomotiv Moscow
/Players/33661/Show/Maciej-Rybus,Maciej Rybus,Lokomotiv Moscow
/Players/31299/Show/Vladislav-Ignatjev,Vladislav Ignatjev,Lokomotiv Moscow
/Players/278156/Show/Dimitri-Barinov,Dimitri Barinov,Lokomotiv Moscow
/Players/58610/Show/Guilherme,Guilherme,Lokomotiv Moscow
/Players/24814/Show/Benedikt-Höwedes,Benedikt Höwedes,Lokomotiv Moscow
/Players/143799/Show/Anton-Miranchuk,Anton Miranchuk,Lokomotiv Moscow
/Players/38190/Show/Fedor-Smolov,Fedor Smolov,Lokomotiv Moscow
/Players/7245/Show/Igor-Denisov,Igor Denisov,Lokomotiv Moscow
/Players/124454/Show/Brian-Idowu,Brian Idowu,Lokomotiv Moscow
/Players/27932/Show/Dmitriy-Tarasov,Dmitriy Tarasov,Lokomotiv Moscow
/Players/303498/Show/Rifat-Zhemaletdinov,Rifat Zhemaletdinov,Lokomotiv Moscow
/Players/370984/Show/Khvicha-Kvaratskhelia,Khvicha Kvaratskhelia,Lokomotiv Moscow
/Players/43922/Show/Éder,Éder,Lokomotiv Moscow
/Players/321213/Show/Mikhail-Lysov,Mikhail Lysov,Lokomotiv Moscow
/Players/346765/Show/Roman-Tugarev,Roman Tugarev,Lokomotiv Moscow
/Players/39128/Show/Boris-Rotenberg,Boris Rotenberg,Lokomotiv Moscow
/guilherme/profil/spieler/55369,Guilherme,Lokomotiv Moscow
/solomon-kvirkvelia/profil/spieler/157391,S. Kvirkvelia,Lokomotiv Moscow
/benedikt-howedes/profil/spieler/39020,B. Höwedes,Lokomotiv Moscow
/maciej-rybus/profil/spieler/59597,M. Rybus,Lokomotiv Moscow
/vladislav-ignatjev/profil/spieler/51897,V. Ignatjev,Lokomotiv Moscow
/boris-rotenberg/profil/spieler/54310,B. Rotenberg,Lokomotiv Moscow
/grzegorz-krychowiak/profil/spieler/45184,G. Krychowiak,Lokomotiv Moscow
/dmitri-barinov/profil/spieler/263905,D. Barinov,Lokomotiv Moscow
/dmitri-tarasov/profil/spieler/48560,D. Tarasov,Lokomotiv Moscow
/igor-denisov/profil/spieler/15650,I. Denisov,Lokomotiv Moscow
/roman-tugarev/profil/spieler/289643,R. Tugarev,Lokomotiv Moscow
/eder/profil/spieler/84481,Éder,Lokomotiv Moscow
/anton-kochenkov/profil/spieler/70220,Anton Kochenkov,Lokomotiv Moscow
/nikita-medvedev/profil/spieler/296513,Nikita Medvedev,Lokomotiv Moscow
/bryan-idowu/profil/spieler/178957,Bryan Idowu,Lokomotiv Moscow
/vedran-corluka/profil/spieler/34393,Vedran Corluka,Lokomotiv Moscow
/mikhail-lysov/profil/spieler/289590,Mikhail Lysov,Lokomotiv Moscow
/taras-mykhalyk/profil/spieler/45196,Taras Mykhalyk,Lokomotiv Moscow
/aleksandr-kolomeytsev/profil/spieler/65966,Aleksandr Kolomeytsev,Lokomotiv Moscow
/khvicha-kvaratskhelia/profil/spieler/502670,Khvicha Kvaratskhelia,Lokomotiv Moscow
/rifat-zhemaletdinov/profil/spieler/267383,Rifat Zhemaletdinov,Lokomotiv Moscow
/jefferson-farfan/profil/spieler/16649,Jefferson Farfán,Lokomotiv Moscow
/anton-miranchuk/profil/spieler/255451,Anton Miranchuk,Lokomotiv Moscow
/fedor-smolov/profil/spieler/50355,Fedor Smolov,Lokomotiv Moscow
/aleksey-miranchuk/profil/spieler/255450,Aleksey Miranchuk,Lokomotiv Moscow
/manuel-fernandes/profil/spieler/16791,Manuel Fernandes,Lokomotiv Moscow
/Players/133400/Show/William-Troost-Ekong,William Troost-Ekong,Bursaspor
/Players/83249/Show/Aziz-Behich,Aziz Behich,Bursaspor
/Players/139550/Show/Aytac-Kara,Aytac Kara,Bursaspor
/Players/111183/Show/Stéphane-Badji,Stéphane Badji,Bursaspor
/Players/363098/Show/Umut-Meras,Umut Meras,Bursaspor
/Players/31713/Show/Aurélien-Chedjou,Aurélien Chedjou,Bursaspor
/Players/34949/Show/Henri-Saivet,Henri Saivet,Bursaspor
/Players/82394/Show/Santiago-Vergini,Santiago Vergini,Bursaspor
/Players/239850/Show/Baris-Yardimci,Baris Yardimci,Bursaspor
/Players/33594/Show/Iasmin-Latovlevici,Iasmin Latovlevici,Bursaspor
/Players/143332/Show/Abdullahi-Shehu,Abdullahi Shehu,Bursaspor
/Players/136471/Show/Ertugrul-Ersoy,Ertugrul Ersoy,Bursaspor
/Players/83297/Show/Diafra-Sakho,Diafra Sakho,Bursaspor
/Players/119777/Show/Furkan-Soyalp,Furkan Soyalp,Bursaspor
/Players/357423/Show/Burak-Kapacak,Burak Kapacak,Bursaspor
/Players/281935/Show/Allano,Allano,Bursaspor
/Players/119526/Show/Yusuf-Erdogan,Yusuf Erdogan,Bursaspor
/Players/343219/Show/Muhammed-Sengezer,Muhammed Sengezer,Bursaspor
/Players/31539/Show/Tunay-Torun,Tunay Torun,Bursaspor
/Players/292145/Show/Mehmet-Umut-Nayir,Mehmet Umut Nayir,Bursaspor
/Players/110517/Show/Okan-Kocuk,Okan Kocuk,Bursaspor
/Players/67613/Show/Harun-Tekin,Harun Tekin,Bursaspor
/Players/25754/Show/Bogdan-Stancu,Bogdan Stancu,Bursaspor
/Players/361845/Show/Ramazan-Keskin,Ramazan Keskin,Bursaspor
/Players/27369/Show/Tomas-Necid,Tomas Necid,Bursaspor
/Players/361844/Show/Jani-Atanasov,Jani Atanasov,Bursaspor
/Players/302718/Show/Kubilay-Kanatsizkus,Kubilay Kanatsizkus,Bursaspor
/Players/333109/Show/Onur-Atasayar,Onur Atasayar,Bursaspor
